Index,EyeColor,HairColor
0,Brown,Blond
1,Brown,Blond
2,Brown,Blond
3,Brown,Blond
4,Brown,Blond
5,Brown,Blond
6,Brown,Blond
7,Brown,Blond
8,Brown,Blond
9,Brown,Blond
10,Brown,Blond
11,Brown,Blond
12,Brown,Blond
13,Brown,Blond
14,Brown,Blond
15,Brown,Blond
16,Brown,Blond
17,Brown,Blond
18,Brown,Blond
19,Brown,Blond
20,Brown,Blond
21,Brown,Blond
22,Brown,Blond
23,Brown,Blond
24,Brown,Blond
25,Brown,Blond
26,Brown,Blond
27,Brown,Blond
28,Brown,Blond
29,Brown,Blond
30,Brown,Blond
31,Brown,Blond
32,Brown,Blond
33,Brown,Blond
34,Brown,Blond
35,Brown,Blond
36,Brown,Blond
37,Brown,Blond
38,Brown,Blond
39,Brown,Blond
40,Brown,Blond
41,Brown,Blond
42,Brown,Blond
43,Brown,Blond
44,Brown,Blond
45,Brown,Blond
46,Brown,Blond
47,Brown,Blond
48,Brown,Blond
49,Brown,Blond
50,Brown,Blond
51,Brown,Blond
52,Brown,Blond
53,Brown,Blond
54,Brown,Blond
55,Brown,Blond
56,Brown,Blond
57,Brown,Blond
58,Brown,Blond
59,Brown,Blond
60,Brown,Blond
61,Brown,Blond
62,Brown,Blond
63,Brown,Blond
64,Brown,Blond
65,Brown,Blond
66,Brown,Blond
67,Brown,Blond
68,Brown,Blond
69,Brown,Blond
70,Brown,Blond
71,Brown,Blond
72,Brown,Blond
73,Brown,Blond
74,Brown,Blond
75,Brown,Blond
76,Brown,Blond
77,Brown,Blond
78,Brown,Blond
79,Brown,Blond
80,Brown,Blond
81,Brown,Blond
82,Brown,Blond
83,Brown,Blond
84,Brown,Blond
85,Brown,Blond
86,Brown,Blond
87,Brown,Blond
88,Brown,Blond
89,Brown,Blond
90,Brown,Blond
91,Brown,Blond
92,Brown,Blond
93,Brown,Blond
94,Brown,Blond
95,Brown,Blond
96,Brown,Blond
97,Brown,Blond
98,Brown,Blond
99,Brown,Blond
100,Brown,Blond
101,Brown,Blond
102,Brown,Blond
103,Brown,Blond
104,Brown,Blond
105,Brown,Blond
106,Brown,Blond
107,Brown,Blond
108,Brown,Blond
109,Brown,Blond
110,Brown,Blond
111,Brown,Blond
112,Brown,Blond
113,Brown,Blond
114,Brown,Blond
115,Brown,Blond
116,Brown,Blond
117,Brown,Blond
118,Brown,Blond
119,Brown,Blond
120,Brown,Blond
121,Brown,Blond
122,Brown,Blond
123,Brown,Blond
124,Brown,Blond
125,Brown,Blond
126,Brown,Blond
127,Brown,Blond
128,Brown,Blond
129,Brown,Blond
130,Brown,Blond
131,Brown,Blond
132,Brown,Blond
133,Brown,Blond
134,Brown,Blond
135,Brown,Blond
136,Brown,Blond
137,Brown,Blond
138,Brown,Blond
139,Brown,Blond
140,Brown,Blond
141,Brown,Blond
142,Brown,Blond
143,Brown,Blond
144,Brown,Blond
145,Brown,Blond
146,Brown,Blond
147,Brown,Blond
148,Brown,Blond
149,Brown,Blond
150,Brown,Blond
151,Brown,Blond
152,Brown,Blond
153,Brown,Blond
154,Brown,Blond
155,Brown,Blond
156,Brown,Blond
