SECID,TRADEDATE,expiry_date,option_type,strike,DTE_DAYS,SETTLEPRICE,market_price,OPEN,HIGH,LOW,CLOSE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,shortname,name,UNDERLYING_SHORTNAME,UNDERLYING_SECID,UNDERLYING_SETTLEPRICE,underlying_price,UNDERLYING_OPEN,UNDERLYING_HIGH,UNDERLYING_LOW,UNDERLYING_CLOSE,UNDERLYING_VALUE,UNDERLYING_VOLUME,UNDERLYING_OPENPOSITION,UNDERLYING_NUMTRADES,moneyness,log_moneyness,year,month
MM3050BL6,2024-01-03,2026-12-17,C,3050.0,1079,1439.45,1439.45,,,,,,,1752.0,0,MXI-12.26M171226CA3050,Марж. амер. Call 3050 с исп. 17 дек. на фьюч. контр. MXI-12.26,MXI-12.26,MMZ6,4409.4,4409.4,,,,,,,10,0,1.4457049180327868,0.36859703516142317,2024,1
MM3100BL6,2024-01-03,2026-12-17,C,3100.0,1079,1395.5,1395.5,,,,,,,570.0,0,MXI-12.26M171226CA3100,Марж. амер. Call 3100 с исп. 17 дек. на фьюч. контр. MXI-12.26,MXI-12.26,MMZ6,4409.4,4409.4,,,,,,,10,0,1.4223870967741934,0.35233651428964285,2024,1
MM3200BL6,2024-01-03,2026-12-17,C,3200.0,1079,1308.95,1308.95,,,,,,,3160.0,0,MXI-12.26M171226CA3200,Марж. амер. Call 3200 с исп. 17 дек. на фьюч. контр. MXI-12.26,MXI-12.26,MMZ6,4409.4,4409.4,,,,,,,10,0,1.3779374999999998,0.3205878159750625,2024,1
MM3250BL6,2024-01-03,2026-12-17,C,3250.0,1079,1266.45,1266.45,,,,,,,1738.0,0,MXI-12.26M171226CA3250,Марж. амер. Call 3250 с исп. 17 дек. на фьюч. контр. MXI-12.26,MXI-12.26,MMZ6,4409.4,4409.4,,,,,,,10,0,1.3567384615384614,0.30508362943909734,2024,1
MM3150BC7,2024-01-03,2027-03-18,C,3150.0,1170,1513.8,1513.8,,,,,,,,0,MXI-3.27M180327CA3150,Марж. амер. Call 3150 с исп. 18 марта на фьюч. контр. MXI-3.27,MXI-3.27,MMH7,4575.45,4575.45,,,,,,,0,0,1.4525238095238096,0.37330260170858853,2024,1
MM3200BC7,2024-01-03,2027-03-18,C,3200.0,1170,1470.1,1470.1,,,,,,,,0,MXI-3.27M180327CA3200,Марж. амер. Call 3200 с исп. 18 марта на фьюч. контр. MXI-3.27,MXI-3.27,MMH7,4575.45,4575.45,,,,,,,0,0,1.429828125,0.3575542447404494,2024,1
MM2500BR6,2024-01-03,2026-06-18,P,2500.0,897,37.55,37.55,,,,,,,,0,MXI-6.26M180626PA2500,Марж. амер. Put 2500 с исп. 18 июня на фьюч. контр. MXI-6.26,MXI-6.26,MMM6,4080.25,4080.25,,,,,,,26,0,1.6321,0.48986752917451315,2024,1
MM2550BR6,2024-01-03,2026-06-18,P,2550.0,897,40.45,40.45,,,,,,,,0,MXI-6.26M180626PA2550,Марж. амер. Put 2550 с исп. 18 июня на фьюч. контр. MXI-6.26,MXI-6.26,MMM6,4080.25,4080.25,,,,,,,26,0,1.6000980392156863,0.4700649018783334,2024,1
MM2600BF6,2024-01-03,2026-06-18,C,2600.0,897,1523.9,1523.9,,,,,,,98.0,0,MXI-6.26M180626CA2600,Марж. амер. Call 2600 с исп. 18 июня на фьюч. контр. MXI-6.26,MXI-6.26,MMM6,4080.25,4080.25,,,,,,,26,0,1.5693269230769231,0.4506468160212318,2024,1
MM2600BR6,2024-01-03,2026-06-18,P,2600.0,897,43.65,43.65,,,,,,,,0,MXI-6.26M180626PA2600,Марж. амер. Put 2600 с исп. 18 июня на фьюч. контр. MXI-6.26,MXI-6.26,MMM6,4080.25,4080.25,,,,,,,26,0,1.5693269230769231,0.4506468160212318,2024,1
