sample,model,N,MAE,RMSE,mean_error,median_abs_error,mean_abs_pct_error
exclude_deep_tails,CRR + garch,6598,92.75630417302875,131.1402158329793,-68.08074175198962,70.80323255246111,0.7921011600272277
exclude_deep_tails,CRR + hv_63d,6598,101.63547532086028,128.74755717100064,-89.82275411209407,83.84274567667865,1.1152796407318508
exclude_deep_tails,CRR + hv_21d,6598,111.38825599440464,143.92719401394072,-98.27633263383582,94.67705256758549,0.8055959393319367
full_common_sample,CRR + garch,18058,107.0075920884049,145.76179687458082,-78.14156487856522,82.88161414495124,2.22605053392487
full_common_sample,CRR + hv_63d,18058,107.1487681801695,140.63249470610043,-89.72478116426805,84.4516119160307,3.765533105057397
full_common_sample,CRR + hv_21d,18058,119.30730761130886,156.41214328900446,-95.25814323044386,96.84270093434361,3.76642648802065
long_dte_gt_91,CRR + hv_63d,15279,121.19594432957697,151.8946087186846,-100.61098736572214,99.50497330158726,4.338422592934027
long_dte_gt_91,CRR + garch,15279,122.70810085488057,157.90173052802305,-88.71297544756536,99.3636512092705,2.5412882692421057
long_dte_gt_91,CRR + hv_21d,15279,135.43940392820636,169.06333874465784,-107.01701541821281,114.14304017503764,4.341321084723063
non_high_vol,CRR + garch,13203,94.50641397007894,127.58284413657107,-90.72137306355638,72.91734107666923,0.7783824324073645
non_high_vol,CRR + hv_63d,13203,101.38239556955955,136.57576817039796,-97.49673659503435,77.54994740205453,1.0867088448201412
non_high_vol,CRR + hv_21d,13203,119.87499635510595,157.05996010668196,-119.49193270790745,97.41342508562079,0.7433470307601199
short_dte_le_91,CRR + garch,2779,20.685867207878932,31.2776994505829,-20.019728936228635,12.46510194580044,0.492866885881672
short_dte_le_91,CRR + hv_63d,2779,29.917100534686632,40.79723039757056,-29.87219226465788,22.223528070430188,0.6157747440401116
short_dte_le_91,CRR + hv_21d,2779,30.612705370978926,42.729512887085605,-30.607618524822513,21.61001618308393,0.605643996830948
