moneyness_bucket,N,MAE,mean_error,median_abs_error,RMSE,model
deep_OTM,266,63.37948937693424,-62.34812355473409,53.88776175092694,86.2274238828704,crr_hv_21d
OTM,1531,97.04694774608075,-95.47183307346802,93.31225015355469,121.02484640371861,crr_hv_21d
ATM,1950,94.12466603151145,-88.07231530609383,75.61082274202906,122.52393817385514,crr_hv_21d
ITM,3117,129.23251116149663,-106.0374884297999,106.02289420694369,165.11592900478317,crr_hv_21d
deep_ITM,11194,125.30397566729219,-94.26118517703657,99.67420525704883,164.5588034490454,crr_hv_21d
deep_OTM,266,61.516119367807825,-60.699082531968905,54.43197211230726,81.56629135844902,crr_hv_63d
OTM,1531,90.65701779089466,-88.60465722508079,87.07809280435315,110.14714054592363,crr_hv_63d
ATM,1950,88.55359893353774,-83.80898971887649,71.23100077488164,111.83756026705366,crr_hv_63d
ITM,3117,115.21188771536022,-94.18327605652516,89.90167935853788,145.95763476265165,crr_hv_63d
deep_ITM,11194,111.48278558858564,-90.35676350538255,85.73521711683676,148.2445508497854,crr_hv_63d
deep_OTM,266,48.30230389261958,-44.76522323862713,36.537274574576855,68.3017231456491,crr_garch
OTM,1531,76.08576339476355,-71.68191366156202,64.49691460185187,98.73756322728075,crr_garch
ATM,1950,73.99644293335501,-61.54676893468078,52.674002182823266,105.44266635486153,crr_garch
ITM,3117,112.68069536612717,-70.39959090187635,84.40694530301391,157.03430226438914,crr_garch
deep_ITM,11194,116.80262552825936,-84.86475746971844,92.36798396307074,155.00626877630106,crr_garch
deep_OTM,266,62.44037534694765,-61.689347507569906,54.44241420397823,83.06017592508208,black76_hv_63d
OTM,1531,93.51085328592232,-91.58424948578472,89.15116028496807,113.67343528275195,black76_hv_63d
ATM,1950,92.75482979987335,-89.92068430967412,73.98086564729186,117.60447941652409,black76_hv_63d
ITM,3117,128.60849388993998,-120.34566142946937,96.42399563024361,163.58521244865364,black76_hv_63d
deep_ITM,11194,185.6802738117933,-177.20277532681993,139.81172018444903,245.90189464770194,black76_hv_63d
