DTE_bucket,N,mean_TVNAE,median_TVNAE,model
0-7,21,0.40048608281430065,0.3154667368430105,CRR + hv_21d
8-30,268,0.549713306548065,0.5363584918909863,CRR + hv_21d
31-90,1684,0.7771335503828624,0.8076110879090758,CRR + hv_21d
91+,14988,0.7658248405412189,0.778304203657071,CRR + hv_21d
0-7,21,0.5941774216253154,0.6213090099948669,CRR + hv_63d
8-30,268,0.6531264783984156,0.6457238177843265,CRR + hv_63d
31-90,1684,0.775482047312205,0.8105757247891142,CRR + hv_63d
91+,14988,0.687755333842023,0.663459957537158,CRR + hv_63d
0-7,21,0.18919039720500613,0.13805523427799413,CRR + garch
8-30,268,0.2882849313507768,0.24461128181883934,CRR + garch
31-90,1684,0.5264772505040236,0.4979712195648347,CRR + garch
91+,14988,0.6821228616429587,0.6430180669742664,CRR + garch
