SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date,UNDERLYING_CLOSE,UNDERLYING_OPEN,UNDERLYING_HIGH,UNDERLYING_LOW,UNDERLYING_VOLUME,DTE_DAYS,market_price,underlying_price,ret_1d,ret_21d,hv_21d,hv_63d,vol_regime,trend_regime,regime_label,moneyness,log_moneyness,year,month
MM2500BR6,2024-01-03,,,,,37.55,,,,0,P,2500.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,37.55,3130.23,,,,,,down,,1.252092,0.22481575240632043,2024,1
MM2550BR6,2024-01-03,,,,,40.45,,,,0,P,2550.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,40.45,3130.23,,,,,,down,,1.2275411764705881,0.20501312511014064,2024,1
MM2600BF6,2024-01-03,,,,,1523.9,,,98.0,0,C,2600.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,1523.9,3130.23,,,,,,down,,1.2039346153846153,0.18559503925303908,2024,1
MM2600BR6,2024-01-03,,,,,43.65,,,,0,P,2600.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,43.65,3130.23,,,,,,down,,1.2039346153846153,0.18559503925303908,2024,1
MM2650BF6,2024-01-03,,,,,1477.35,,,1144.0,0,C,2650.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,1477.35,3130.23,,,,,,down,,1.1812188679245283,0.1665468442823447,2024,1
MM2700BF6,2024-01-03,,,,,1431.15,,,954.0,0,C,2700.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,1431.15,3130.23,,,,,,down,,1.1593444444444445,0.14785471127019217,2024,1
MM2700BR6,2024-01-03,,,,,50.9,,,,0,P,2700.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,50.9,3130.23,,,,,,down,,1.1593444444444445,0.14785471127019217,2024,1
MM2750BF6,2024-01-03,,,,,1385.3,,,144.0,0,C,2750.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,1385.3,3130.23,,,,,,down,,1.1382654545454545,0.1295055726019955,2024,1
MM2750BR6,2024-01-03,,,,,55.05,,,,0,P,2750.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,55.05,3130.23,,,,,,down,,1.1382654545454545,0.1295055726019955,2024,1
MM2800BF6,2024-01-03,,,,,1339.8,,,182.0,0,C,2800.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,1339.8,3130.23,,,,,,down,,1.1179392857142858,0.11148706709931734,2024,1
MM2800BR6,2024-01-03,,,,,59.55,,,,0,P,2800.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897,59.55,3130.23,,,,,,down,,1.1179392857142858,0.11148706709931734,2024,1
MM3100BI6,2024-01-03,,,,,1245.4,,,1042.0,0,C,3100.0,2026-09-17,3130.23,3099.78,3132.76,3099.1,0,988,1245.4,3130.23,,,,,,down,,1.0097516129032258,0.00970437278937492,2024,1
MM3150BI6,2024-01-03,,,,,1202.5,,,1896.0,0,C,3150.0,2026-09-17,3130.23,3099.78,3132.76,3099.1,0,988,1202.5,3130.23,,,,,,down,,0.9937238095238096,-0.006295968557066157,2024,1
MM3200BI6,2024-01-03,,,,,1160.15,,,854.0,0,C,3200.0,2026-09-17,3130.23,3099.78,3132.76,3099.1,0,988,1160.15,3130.23,,,,,,down,,0.978196875,-0.0220443255252054,2024,1
MM3050BL6,2024-01-03,,,,,1439.45,,,1752.0,0,C,3050.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079,1439.45,3130.23,,,,,,down,,1.0263049180327868,0.025964893661155144,2024,1
