SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date,UNDERLYING_CLOSE,UNDERLYING_OPEN,UNDERLYING_HIGH,UNDERLYING_LOW,UNDERLYING_VOLUME,DTE_DAYS
MM2500BR6,2024-01-03,,,,,37.55,,,,0,P,2500.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2550BR6,2024-01-03,,,,,40.45,,,,0,P,2550.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2600BF6,2024-01-03,,,,,1523.9,,,98.0,0,C,2600.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2600BR6,2024-01-03,,,,,43.65,,,,0,P,2600.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2650BF6,2024-01-03,,,,,1477.35,,,1144.0,0,C,2650.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2700BF6,2024-01-03,,,,,1431.15,,,954.0,0,C,2700.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2700BR6,2024-01-03,,,,,50.9,,,,0,P,2700.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2750BF6,2024-01-03,,,,,1385.3,,,144.0,0,C,2750.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2750BR6,2024-01-03,,,,,55.05,,,,0,P,2750.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2800BF6,2024-01-03,,,,,1339.8,,,182.0,0,C,2800.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM2800BR6,2024-01-03,,,,,59.55,,,,0,P,2800.0,2026-06-18,3130.23,3099.78,3132.76,3099.1,0,897
MM3100BI6,2024-01-03,,,,,1245.4,,,1042.0,0,C,3100.0,2026-09-17,3130.23,3099.78,3132.76,3099.1,0,988
MM3150BI6,2024-01-03,,,,,1202.5,,,1896.0,0,C,3150.0,2026-09-17,3130.23,3099.78,3132.76,3099.1,0,988
MM3200BI6,2024-01-03,,,,,1160.15,,,854.0,0,C,3200.0,2026-09-17,3130.23,3099.78,3132.76,3099.1,0,988
MM3050BL6,2024-01-03,,,,,1439.45,,,1752.0,0,C,3050.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079
MM3100BL6,2024-01-03,,,,,1395.5,,,570.0,0,C,3100.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079
MM3200BL6,2024-01-03,,,,,1308.95,,,3160.0,0,C,3200.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079
MM3250BL6,2024-01-03,,,,,1266.45,,,1738.0,0,C,3250.0,2026-12-17,3130.23,3099.78,3132.76,3099.1,0,1079
