secid,shortname,regnumber,name,isin,is_traded,emitent_id,emitent_title,emitent_inn,emitent_okpo,type,group,primary_boardid,marketprice_boardid,_query,_strategy,option_type,strike,expiry_date
IM2600CE6,IMOEXP200526CE2600,,Прем. европ. Call 2600 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-05-20
IM2650CE6,IMOEXP200526CE2650,,Прем. европ. Call 2650 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2026-05-20
IM2700CE6,IMOEXP200526CE2700,,Прем. европ. Call 2700 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2700.0,2026-05-20
IM2600CE6A,IMOEXP060526CE2600,,Нед. прем. европ. Call 2600 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-05-06
IM2850CQ6A,IMOEXP060526PE2850,,Нед. прем. европ. Put 2850 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2850.0,2026-05-06
IM2650CQ6,IMOEXP200526PE2650,,Прем. европ. Put 2650 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2650.0,2026-05-20
IM2750CE6,IMOEXP200526CE2750,,Прем. европ. Call 2750 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2026-05-20
IM2800CE6,IMOEXP200526CE2800,,Прем. европ. Call 2800 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2800.0,2026-05-20
IM2750CQ6,IMOEXP200526PE2750,,Прем. европ. Put 2750 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-05-20
IM2850CQ6,IMOEXP200526PE2850,,Прем. европ. Put 2850 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2850.0,2026-05-20
IM2500CE6,IMOEXP200526CE2500,,Прем. европ. Call 2500 с исп. 20 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2500.0,2026-05-20
