secid,shortname,regnumber,name,isin,is_traded,emitent_id,emitent_title,emitent_inn,emitent_okpo,type,group,primary_boardid,marketprice_boardid,_query,_strategy,option_type,strike,expiry_date,history_rows,first_tradedate,last_tradedate,rows_2024,rows_2025,rows_2026
MM2500BR6,MXI-6.26M180626PA2500,,Марж. амер. Put 2500 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,P,2500.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2550BR6,MXI-6.26M180626PA2550,,Марж. амер. Put 2550 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,P,2550.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2600BF6,MXI-6.26M180626CA2600,,Марж. амер. Call 2600 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,C,2600.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2600BR6,MXI-6.26M180626PA2600,,Марж. амер. Put 2600 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,P,2600.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2650BF6,MXI-6.26M180626CA2650,,Марж. амер. Call 2650 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,C,2650.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2700BF6,MXI-6.26M180626CA2700,,Марж. амер. Call 2700 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,C,2700.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2700BR6,MXI-6.26M180626PA2700,,Марж. амер. Put 2700 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,P,2700.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2750BF6,MXI-6.26M180626CA2750,,Марж. амер. Call 2750 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,C,2750.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2750BR6,MXI-6.26M180626PA2750,,Марж. амер. Put 2750 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,P,2750.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
MM2800BF6,MXI-6.26M180626CA2800,,Марж. амер. Call 2800 с исп. 18 июня на фьюч. контр. MXI-6.26,,1,,,,,option,futures_options,ROPD,,MXI,base_query,C,2800.0,2026-06-18,604,2024-01-03,2026-05-19,256,254,94
