BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,WAPRICE,CHANGE,QTY,NUMTRADES
ROPD,2024-05-06,IM2750CF6,,,,,0.0,,,,837.95,,,,0
ROPD,2024-05-07,IM2750CF6,,,,,0.0,,,,842.18,,,,0
ROPD,2024-05-08,IM2750CF6,,,,,0.0,,,,840.38,,,,0
ROPD,2024-05-10,IM2750CF6,,,,,0.0,,,,839.53,,,,0
ROPD,2024-05-13,IM2750CF6,,,,,0.0,,,,851.52,,,,0
ROPD,2024-05-14,IM2750CF6,,,,,0.0,,,,918.1,,,,0
ROPD,2024-05-15,IM2750CF6,,,,,0.0,,,,876.49,,,,0
ROPD,2024-05-16,IM2750CF6,,,,,0.0,,,,895.4,,,,0
ROPD,2024-05-17,IM2750CF6,,,,,0.0,,,,891.55,,,,0
ROPD,2024-05-20,IM2750CF6,,,,,0.0,,,,916.21,,,,0
ROPD,2024-05-21,IM2750CF6,,,,,0.0,,,,887.99,,,,0
ROPD,2024-05-22,IM2750CF6,,,,,0.0,,,,880.75,,,,0
ROPD,2024-05-23,IM2750CF6,,,,,0.0,,,,886.87,,,,0
ROPD,2024-05-24,IM2750CF6,,,,,0.0,,,,890.66,,,,0
ROPD,2024-05-27,IM2750CF6,,,,,0.0,,,,894.66,,,,0
ROPD,2024-05-28,IM2750CF6,,,,,0.0,,,,902.23,,,,0
ROPD,2024-05-29,IM2750CF6,,,,,0.0,,,,917.94,,,,0
ROPD,2024-05-30,IM2750CF6,,,,,0.0,,,,806.15,,,,0
ROPD,2024-05-31,IM2750CF6,,,,,0.0,,,,809.04,,,,0
ROPD,2024-06-03,IM2750CF6,,,,,0.0,,,,793.06,,,,0
ROPD,2024-06-04,IM2750CF6,,,,,0.0,,,,764.16,,,,0
ROPD,2024-06-05,IM2750CF6,,,,,0.0,,,,799.05,,,,0
ROPD,2024-06-06,IM2750CF6,,,,,0.0,,,,812.76,,,,0
ROPD,2024-06-07,IM2750CF6,,,,,0.0,,,,732.02,,,,0
ROPD,2024-06-10,IM2750CF6,,,,,0.0,,,,851.48,,,,0
ROPD,2024-06-11,IM2750CF6,,,,,0.0,,,,874.85,,,,0
ROPD,2024-06-13,IM2750CF6,,,,,0.0,,,,918.86,,,,0
ROPD,2024-06-14,IM2750CF6,,,,,0.0,,,,831.81,,,,0
ROPD,2024-06-17,IM2750CF6,,,,,0.0,,,,887.95,,,,0
ROPD,2024-06-18,IM2750CF6,,,,,0.0,,,,781.65,,,,0
ROPD,2024-06-19,IM2750CF6,,,,,0.0,,,,703.27,,,,0
ROPD,2024-06-20,IM2750CF6,,,,,0.0,,,,693.34,,,,0
ROPD,2024-06-21,IM2750CF6,,,,,0.0,,,,803.0,,,,0
ROPD,2024-06-24,IM2750CF6,,,,,0.0,,,,733.44,,,,0
ROPD,2024-06-25,IM2750CF6,,,,,0.0,,,,761.1,,,,0
ROPD,2024-06-26,IM2750CF6,,,,,0.0,,,,714.65,,,,0
ROPD,2024-06-27,IM2750CF6,,,,,0.0,,,,706.36,,,,0
ROPD,2024-06-28,IM2750CF6,,,,,0.0,,,,709.15,,,,0
ROPD,2024-07-01,IM2750CF6,,,,,0.0,,,,730.22,,,,0
ROPD,2024-07-02,IM2750CF6,,,,,0.0,,,,685.83,,,,0
ROPD,2024-07-03,IM2750CF6,,,,,0.0,,,,703.65,,,,0
ROPD,2024-07-04,IM2750CF6,,,,,0.0,,,,696.16,,,,0
ROPD,2024-07-05,IM2750CF6,,,,,0.0,,,,724.04,,,,0
ROPD,2024-07-08,IM2750CF6,,,,,0.0,,,,694.98,,,,0
ROPD,2024-07-09,IM2750CF6,,,,,0.0,,,,695.72,,,,0
ROPD,2024-07-10,IM2750CF6,,,,,0.0,,,,709.08,,,,0
ROPD,2024-07-11,IM2750CF6,,,,,0.0,,,,380.47,,,,0
ROPD,2024-07-12,IM2750CF6,,,,,0.0,,,,384.55,,,,0
ROPD,2024-07-15,IM2750CF6,,,,,0.0,,,,362.83,,,,0
ROPD,2024-07-16,IM2750CF6,,,,,0.0,,,,714.34,,,,0
ROPD,2024-07-17,IM2750CF6,,,,,0.0,,,,401.58,,,,0
ROPD,2024-07-18,IM2750CF6,,,,,0.0,,,,387.26,,,,0
ROPD,2024-07-19,IM2750CF6,,,,,0.0,,,,373.69,,,,0
ROPD,2024-07-22,IM2750CF6,,,,,0.0,,,,389.43,,,,0
ROPD,2024-07-23,IM2750CF6,,,,,0.0,,,,648.69,,,,0
ROPD,2024-07-24,IM2750CF6,,,,,0.0,,,,385.8,,,,0
ROPD,2024-07-25,IM2750CF6,,,,,0.0,,,,389.21,,,,0
ROPD,2024-07-26,IM2750CF6,,,,,0.0,,,,368.28,,,,0
