vol_regime,DTE_bucket,count,mean,median
low_vol,0-7,45,0.04760077669324809,-8.306088365828179e-25
low_vol,8-30,417,0.21930852667424827,0.0005618844886390306
low_vol,31-90,1950,2.131035139430677,0.11876081944026406
low_vol,91+,5272,40.660648386537595,4.932596557783633
mid_vol,0-7,81,0.05196284249316476,-2.4038568863270036e-17
mid_vol,8-30,86,0.8005491276930954,-4.665113471636282e-15
mid_vol,31-90,154,2.811151939486412,0.043434971078388784
mid_vol,91+,5198,64.82884128843696,25.175273170773266
high_vol,0-7,0,,
high_vol,8-30,0,,
high_vol,31-90,0,,
high_vol,91+,4855,105.94171804033986,84.05339258713514
