vol_regime,N,MAE,mean_error,median_abs_error,RMSE,model
low_vol,7224,233.97402652513117,-232.13790654622994,99.99865087860454,378.3517531271879,Black-76 + hv_21d
mid_vol,5878,371.0158776390357,-361.71957116753475,359.83766565311896,487.81633787671996,Black-76 + hv_21d
high_vol,5824,395.65242100746013,-353.0204326612524,380.58739822409353,497.9200489132285,Black-76 + hv_21d
low_vol,6375,170.85601688099962,-165.91324076042633,82.84184884055644,291.767104600048,Black-76 + hv_63d
mid_vol,5878,357.6170605008703,-338.73624484089754,330.735397216816,472.71545931385816,Black-76 + hv_63d
high_vol,5824,411.13631767076356,-385.9347312830536,416.43281253397754,519.4634324113842,Black-76 + hv_63d
low_vol,7224,225.90052595696096,-223.19767929553564,94.47834735601757,369.1323389583163,Black-76 + garch_vol
mid_vol,5878,360.4395550504376,-346.75302373106786,346.9589812163068,475.54292730370753,Black-76 + garch_vol
high_vol,5824,396.82255359547673,-355.88235706104246,384.33617381179124,499.4140373566417,Black-76 + garch_vol
,365,664.2290698595973,-664.2290698595973,907.5722895830454,790.8784419097519,Black-76 + garch_vol
