sigma_variant,slice_type,slice_value,N,MAE,RMSE,mean_error,median_abs_error
hv_21d,overall,all,18926.0,326.2886714745455,452.5915191750266,-309.5816800185918,216.69454427880373
hv_21d,option_type_norm,call,12700.0,461.69231035411656,550.1531855550992,-461.63993958360055,440.4339163673088
hv_21d,option_type_norm,put,6226.0,50.087866178921736,72.68671358584434,0.5917694635173367,34.51731017792052
hv_21d,vol_regime,low_vol,7224.0,233.97402652513117,378.3517531271879,-232.13790654622994,99.99865087860454
hv_21d,vol_regime,mid_vol,5878.0,371.0158776390357,487.81633787671996,-361.71957116753475,359.83766565311896
hv_21d,vol_regime,high_vol,5824.0,395.65242100746013,497.9200489132285,-353.0204326612524,380.58739822409353
hv_21d,vol_regime,,0.0,,,,
hv_21d,dte_bucket,0_30,629.0,15.355735036934973,23.58723709470662,-7.358680810663259,7.30711052554159
hv_21d,dte_bucket,31_90,2104.0,51.20956710492033,67.45286189128926,-49.23690911286026,40.94381895736932
hv_21d,dte_bucket,91_180,1637.0,108.4716341396082,133.61686395403777,-108.37967947664725,93.92094717445566
hv_21d,dte_bucket,181_365,3363.0,167.57777893876946,212.46251278062763,-144.24700041848615,137.81921647832075
hv_21d,dte_bucket,366_730,6998.0,366.92211750786174,445.8645948538991,-335.08919827766846,386.00609706015365
hv_21d,dte_bucket,731_plus,4195.0,655.3236223653458,739.5935952197726,-653.9798335567912,694.7697091664955
hv_21d,moneyness_bucket,deep_otm,4068.0,380.21453803817167,440.4014367506122,-376.06863647087465,362.70673326457666
hv_21d,moneyness_bucket,otm,3216.0,304.1783839999323,388.8989934527338,-284.2620960815276,262.792614060762
hv_21d,moneyness_bucket,atm,3543.0,266.998961973741,382.0070185612873,-240.26496460858374,146.01839220224954
hv_21d,moneyness_bucket,itm,3193.0,314.9541644914718,447.9775292424369,-290.8961239439513,152.07062583731425
hv_21d,moneyness_bucket,deep_itm,4906.0,346.26233248062545,542.4452405175643,-333.26919455950025,80.63041545129721
hv_63d,overall,all,18077.0,308.99696317724266,435.4530983200243,-292.99510051529666,192.98550152785788
hv_63d,option_type_norm,call,12106.0,440.0283314537935,530.1861202340377,-439.8683064454124,411.4452643487307
hv_63d,option_type_norm,put,5971.0,43.33530778351888,64.42839336890016,4.785343462258216,28.904159301806345
hv_63d,vol_regime,low_vol,6375.0,170.85601688099962,291.767104600048,-165.91324076042633,82.84184884055644
hv_63d,vol_regime,mid_vol,5878.0,357.6170605008703,472.71545931385816,-338.73624484089754,330.735397216816
hv_63d,vol_regime,high_vol,5824.0,411.13631767076345,519.4634324113842,-385.9347312830536,416.43281253397754
hv_63d,vol_regime,,0.0,,,,
hv_63d,dte_bucket,0_30,629.0,15.701271557842961,23.987698107119936,-8.21438404272794,7.485550531861353
hv_63d,dte_bucket,31_90,2104.0,50.40073140986084,65.61716757998569,-46.80064029622803,42.319263939126756
hv_63d,dte_bucket,91_180,1637.0,88.56230307997421,111.65908681143519,-85.62088052400182,75.17546703156023
hv_63d,dte_bucket,181_365,3363.0,158.49847101916194,201.68295345244263,-134.81758016355244,142.7467132316843
hv_63d,dte_bucket,366_730,6998.0,361.9841562867983,442.2914812321075,-334.9053732295879,383.84385681469394
hv_63d,dte_bucket,731_plus,3346.0,675.028957197971,751.9976954190575,-674.1232312912148,681.4714197848341
hv_63d,moneyness_bucket,deep_otm,4068.0,377.68890263656937,439.7658324716828,-374.25416332261705,362.5378925413345
hv_63d,moneyness_bucket,otm,3214.0,300.11065853484666,387.88015945502934,-281.6998160844067,246.13378867233573
hv_63d,moneyness_bucket,atm,3427.0,242.06260179839808,354.958094116435,-214.75572550240213,119.93591839341624
hv_63d,moneyness_bucket,itm,2964.0,266.67101183766965,394.20811004366504,-242.35678861578347,114.51750432038065
hv_63d,moneyness_bucket,deep_itm,4404.0,332.6027646340805,535.9641160198474,-321.1421194299306,71.22948105418398
