Date,Fiscal Balance,Government Debt,Oil Prices,Oil Production,Exchange Rates (USD),Fiscal Rule,GDP Annual Growth Rate ,Expenditure,Consumer Price Inflation,Non-Oil Revenue
2000,"-0,62","25,30","29,36","727 047,95","143,91","0,00","9,80",22.92,13.15,24.69
2001,"2,68","20,50","24,46","806 469,86","146,73","0,00","13,50",23.38,8.37,24.15
2002,"1,42","17,59","24,99","972 101,16","153,27","0,00","9,80",20.53,5.85,22.90
2003,"3,48","14,96","28,85","1 057 212,33","149,55","0,00","9,30",21.36,6.45,25.27
2004,"3,17","11,39","38,26","1 222 232,88","136,04","0,00","9,60",21.26,6.87,23.89
2005,"5,88","8,10","54,57","1 263 415,07","132,88","0,00","9,70","22,01",7.52,25.98
2006,"7,21","6,68","65,16","1 335 429,73","126,07","0,00","10,70",19.80,8.58,26.43
2007,"4,67","4,09","72,44","1 380 821,92","122,55","0,00","8,90",23.71,10.78,26.65
2008,"1,08","6,77","96,94","1 452 739,73","120,29","0,00","3,30","27,07",17.15,25.95
2009,"-1,39","10,23","61,74","1 541 095,89","147,48","0,00","1,20",23.47,7.30,16.74
2010,"1,41","10,68","79,61","1 643 835,62","147,34","0,00","7,30",22.47,7.13,16.39
2011,"5,76","10,16","111,26","1 664 383,56","146,62","0,00","7,40",21.23,8.35,"17,10"
2012,"4,39","12,13","111,57","1 627 397,26","149,11","0,00","4,80",21.91,"5,11",17.84
2013,"4,89","12,60","108,56","1 678 767,12","152,14","0,00","6,00",19.81,5.83,16.75
2014,"2,43","14,50","98,97","1 660 273,97","179,12","0,00","4,20",21.26,6.72,15.56
2015,"-6,30","21,88","52,32","1 623 287,67","222,25","0,00","1,20",22.87,6.65,12.20
2016,"-4,55","19,68","43,64","1 602 739,73","341,75","1,00","1,10",21.51,14.56,15.78
2017,"-4,30","19,87","54,12","1 771 232,88","326,08","1,00","4,10","24,09",7.43,17.48
2018,"2,54","20,26","71,34","1 855 479,45","344,90","1,00","4,10",18.85,"6,02",18.34
2019,"-0,60","19,94","64,30","1 857 534,25","382,87","1,00","4,50",20.25,5.24,18.17
2020,"-7,07","26,36","41,96","1 760 958,90","413,36","1,00","-2,50",24.55,6.80,"18,08"
2021,"-4,14","25,10","70,86","1 760 619,86","426,03","1,00","4,30","22,07",8.00,15.98
2022,"-0,52","23,52","100,93","1 729 335,62","460,85","1,00","3,20",21.72,14.96,17.16
2023,"-0,50","22,77","82,49","1 848 760,27","456,24","1,00","5,10",23.39,14.56,19.93
2024,"-3,30","24,75","80,52","1 855 479,45","469,11","1,00","3,50","21,05",8.64,17.85
2025,"-3,60","27,58","69,97","2 019 863,01","522,33","1,00","4,60","18,65",7.18,17.97
