region,cooks_D,leverage
Алтайский край,0.000732894876965787,0.05218987591544455
Амурская область,0.028230390478990543,0.024577145475773332
Архангельская область,0.0013918719310016293,0.028863042606048994
Астраханская область,0.0017941910460936308,0.01940007726768495
Белгородская область,0.0025527837067537145,0.023907306197877287
Брянская область,0.00034343647578311757,0.01981628269945155
Владимирская область,0.0030598445229763783,0.04060932917622713
Волгоградская область,0.002373012413367108,0.024531926068598983
Вологодская область,0.008795674897738793,0.041460174717681174
Воронежская область,0.0010321989137481462,0.030550039826616887
Еврейская автономная область,0.029074206400612656,0.08206980949401782
Забайкальский край,0.0118892647295942,0.0386331159969676
Ивановская область,0.0020511378035229814,0.06256779228685194
Иркутская область,0.009847718661146178,0.03930142827073958
Кабардино-Балкарская Республика,0.005724852542413796,0.11453273821986386
Калининградская область,0.003049655696711315,0.038484078281697545
Калужская область,0.0007129312142964004,0.03855352812899826
Камчатский край,0.004514981046862534,0.1330003433549662
Карачаево-Черкесская Республика,0.0821624441492124,0.09090098749437678
Кемеровская область,0.0005739335481973112,0.09453012614442602
Кировская область,0.008810996134016837,0.04287638439736687
Костромская область,0.0034443563527487777,0.03623821335401545
Краснодарский край,0.011597051044819676,0.10174503572513638
Красноярский край,0.001768051425749875,0.08137925388979017
Курганская область,0.00022082557417013644,0.063946283613672
Курская область,0.0011103070703089035,0.03239966405598335
Ленинградская область,0.0001524583639193399,0.029609671125066572
Липецкая область,0.008501164294010256,0.04036332032224113
Магаданская область,9.747130840986336e-05,0.1643558469471248
Москва,0.0004323778630561744,0.286228188368658
Московская область,0.0029619988825361917,0.07229807779837194
Мурманская область,0.025239543566682777,0.10589333533431758
Ненецкий автономный округ (Архангельская область),1.5990159659529828,0.5539413115703125
Нижегородская область,0.004536378725270188,0.03193657884288495
Новгородская область,0.003142710778080683,0.0561509280773306
Новосибирская область,0.00013818263772092122,0.025249368405316025
Омская область,6.596807343879104e-06,0.020860240903602223
Оренбургская область,0.0022055311665238842,0.054298223234249626
Орловская область,0.0038296188649523917,0.044235873644193846
Пензенская область,0.001001112943438436,0.020656592656487206
Пермский край,0.004736343668316301,0.026687746221507797
Приморский край,0.006076742110824583,0.025373038201308262
Псковская область,0.002422633699123103,0.039770582542532934
Республика Адыгея,0.008939965197632392,0.04557666096182418
Республика Алтай,0.048067618537518245,0.15395336283451375
Республика Башкортостан,0.008339998735583299,0.05650779374336151
Республика Бурятия,0.00035842846431831334,0.040523033308531464
Республика Дагестан,0.006791869428673587,0.1711567782340554
Республика Ингушетия,0.2712405753461966,0.16143460629473377
Республика Калмыкия,0.001042834490766562,0.09140853004207469
Республика Карелия,0.0015405727592953105,0.04350875908782692
Республика Коми,0.0028672038897553766,0.05790071589310598
Республика Крым,0.011157289905094814,0.052896088855498694
Республика Марий Эл,8.419475945154327e-05,0.01929666156937411
Республика Мордовия,0.004289956555037707,0.02831003119325566
Республика Саха (Якутия),0.00013684227141448133,0.05496113520928157
Республика Северная Осетия - Алания,0.016701050996011227,0.04593380736433089
Республика Татарстан (Татарстан),0.0017968078039185317,0.03490800412615089
Республика Тыва,0.12109139016696585,0.06804931796469407
Республика Хакасия,0.00011794198775711953,0.0313305911145207
Ростовская область,0.00048668252274271673,0.03594662543413643
Рязанская область,0.005725771931946854,0.026456542556490395
Самарская область,0.000974107544561114,0.028207579143834205
Санкт-Петербург,0.004365337590070466,0.1437048295138415
Саратовская область,0.0004119349297946545,0.024958663901067768
Сахалинская область,0.09557535148946569,0.1223553088343769
Свердловская область,8.828622136967765e-05,0.057269874828762
Севастополь,0.03306418255149119,0.2373289019357543
Смоленская область,0.0005888187971010039,0.01853609032906127
Ставропольский край,0.0035384820193493788,0.04321738543599385
Тамбовская область,0.00015322509235553609,0.027613234945788996
Тверская область,0.0024981551291485193,0.033826035155915236
Томская область,0.010174990132045775,0.04518109974514161
Тульская область,0.0007028757451751547,0.030031015331663566
Тюменская область,1.455730550878746e-06,0.13400259974829132
Удмуртская Республика,9.013199212555689e-06,0.02096772618712177
Ульяновская область,0.00044061065202272295,0.024627250716029926
Хабаровский край,0.005531383694160476,0.0369362630469411
Ханты-Мансийский автономный округ - Югра (Тюменская область),0.04157273572587497,0.09387638956232496
Челябинская область,6.046852123795068e-05,0.04988999160039023
Чеченская Республика,0.00847520625237698,0.09970075141658517
Чувашская Республика - Чувашия,0.00014186438237389747,0.025720361807155562
Чукотский автономный округ,0.5605408185939381,0.257098822750836
Ямало-Ненецкий автономный округ (Тюменская область),0.030515264703374127,0.1891139427607205
Ярославская область,0.002623484285274396,0.04080392865886235
