region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg,emp_mining,emp_manufacturing,emp_energy,emp_metallurgy,emp_chemicals,emp_construction,emp_mining_pc,emp_manufacturing_pc,emp_energy_pc,emp_metallurgy_pc,emp_chemicals_pc,emp_construction_pc,ln_emp_mining_pc,ln_emp_manufacturing_pc,ln_emp_energy_pc,ln_emp_construction_pc
Алтайский край,2015,2334206.0,70.13,9.1,56.2,487903245.5,56.4,102.76,151.95,100.1,209.02321624569555,4.402353519783601e-05,6.509708226266233e-05,5.342445328310895,-10.030786176189228,-9.639630829068109,14.66318234843091,4172.0,130381.0,26307.0,3542.0,6231.0,59097.0,0.0017873315380047862,0.05585668102986626,0.011270213511575242,0.0015174324802523856,0.0026694302045320766,0.02531781685078352,-6.327031532310247,-2.884966136093774,-4.485592005983445,-3.6762469077464455
Амурская область,2015,804032.0,67.15,10.1,67.5,277380408.9,58.7,10.34,115.41,92.5,344.98677776506406,1.2860184669266895e-05,0.0001435390631218,5.843506090978271,-11.261374479283807,-8.848903342932235,13.597394348364087,13527.0,25322.0,15207.0,124.0,631.0,50638.0,0.01682395725543262,0.031493771392183394,0.018913426331290298,0.00015422271750378095,0.0007847946350394014,0.06298008039481015,-4.084951381274895,-3.457965486283891,-3.9678832212236306,-2.764936786796733
Архангельская область,2015,1094549.0,70.33,,76.8,400504517.7,50.9,85.64,114.27,101.9,365.90825783039406,7.824227147436981e-05,0.000104399163491,5.90238264031489,-9.455700500522507,-9.16728889508615,13.90585296424399,12131.0,86250.0,16688.0,122.0,879.0,28316.0,0.011083103634464972,0.07879957863923863,0.015246462241525961,0.00011146143297376362,0.0008030704883929362,0.025870015869549925,-4.5023335254730705,-2.540847629350384,-4.1834077870034365,-3.6546706693499105
Астраханская область,2015,1006571.0,70.98,8.6,65.8,322302977.5,58.1,63.05,8.18,109.6,320.1989501982473,6.263840305353521e-05,8.126600110672769e-06,5.768942521975876,-9.6781320006435,-11.720367912439771,13.822060063054428,13842.0,44591.0,9983.0,526.0,776.0,32575.0,0.013751637986788811,0.0442999053221283,0.009917829939467757,0.0005225662173855594,0.0007709341914281258,0.03236234701774639,-4.286597335652619,-3.1167727391313376,-4.613421137718002,-3.4307596610613817
Белгородская область,2015,1551106.0,72.63,9.3,66.0,693379434.1,57.9,58.3,10.33,105.5,447.022598133203,3.758608373637907e-05,6.659764065125143e-06,6.102609148443539,-10.188876689471464,-11.919426499696366,14.254478782827912,27502.0,125443.0,13366.0,11859.0,2626.0,58229.0,0.017730574183840435,0.08087326075716296,0.008617077104981864,0.007645512298966028,0.0016929855212989957,0.03754030994658005,-4.032464774545022,-2.5148720317133297,-4.754009334756897,-3.282339991422588
Брянская область,2015,1226690.0,70.3,8.5,69.5,271782491.3,57.3,16.84,6.0600000000000005,113.5,221.55759914892928,1.3727999739135395e-05,4.940123421565351e-06,5.400682596984732,-11.196073034221042,-12.218120242954,14.019830043035224,206.0,85136.0,12163.0,3453.0,2320.0,33263.0,0.00016793158825783206,0.06940302765979994,0.009915300524174811,0.002814892108030554,0.0018912683726124775,0.027116060292331396,-8.691953874245643,-2.667824786199073,-4.613676207416787,-3.607629095919379
Владимирская область,2015,1408811.0,69.88,8.7,77.6,368489236.1,56.4,15.63,10.97,99.8,261.5604478528348,1.1094461925694788e-05,7.78670808220549e-06,5.566665414929087,-11.409064499763865,-11.763092369910112,14.158256644197252,2382.0,159322.0,18823.0,2622.0,2734.0,54755.0,0.0016907874796548295,0.11308969052626648,0.013360912145064172,0.0018611439007787417,0.0019406435639699009,0.03886610766099924,-6.382560894282006,-2.179574053628718,-4.315421838873073,-3.2476326764873913
Волгоградская область,2015,2569129.0,72.0,8.4,76.5,740457977.2,57.4,80.2,22.92,101.1,288.21362306057813,3.121680538423723e-05,8.921311463924156e-06,5.66370195191591,-10.374553974049952,-11.627067597075882,14.759077488922422,5286.0,153580.0,24560.0,19000.0,13514.0,83384.0,0.002057506649140623,0.05977901459988969,0.009559660102704069,0.007395502522450216,0.005260148478336432,0.03245613591220994,-6.186260393758187,-2.817100606037887,-4.650203106661342,-3.427865765503263
Вологодская область,2015,1188855.0,70.39,8.5,71.8,478893009.8,57.1,224.74,91.92,102.6,402.8186867195747,0.0001890390333556,7.731809177738243e-05,5.998486551822884,-8.573557038537121,-9.467582583476252,13.988501217016752,430.0,103011.0,17972.0,25471.0,4585.0,34910.0,0.0003616925529185645,0.08664723620626569,0.015117066421052188,0.021424816314857573,0.003856651988678182,0.029364388424156014,-7.924716008329144,-2.445910159390774,-4.191930946826702,-3.5279726169176704
Воронежская область,2015,2338257.0,71.67,8.5,67.1,805969634.9,57.6,31.87,12.89,103.7,344.68821643643105,1.362981058112945e-05,5.512653228451791e-06,5.842640287955707,-11.203251209554937,-12.108464521033085,14.66491633798418,4172.0,141650.0,26134.0,2654.0,9346.0,77078.0,0.0017842350092397885,0.060579311854941524,0.011176701277917696,0.0011350334886199422,0.003996994342366986,0.032963870096400866,-6.328765521863517,-2.8038018327255174,-4.493923910435089,-3.4123431628604894
Еврейская автономная область,2015,165149.0,64.92,8.5,69.3,44554774.9,58.2,12.38,14.46,91.3,269.78531447359654,7.496260952231017e-05,8.755729674415224e-05,5.597626511134319,-9.49852110844273,-9.343217158968562,12.01460337569918,1631.0,5636.0,2460.0,47.0,10.0,4263.0,0.00987593022058868,0.03412675826072214,0.014895639695063245,0.00028459149010893195,6.0551380874240834e-05,0.02581305366668887,-4.617654773078167,-3.3776735026806097,-4.206686746772772,-3.65687495893397
Забайкальский край,2015,1068032.0,67.15,8.0,67.5,247666200.9,58.8,62.89,104.35,99.4,231.8902438316455,5.8884003475551295e-05,9.770306507670182e-05,5.446264172792818,-9.739941092044814,-9.233577627077016,13.881328260600226,16681.0,28889.0,16374.0,4784.0,84.0,26488.0,0.015618445889261746,0.027048815016778523,0.01533100131831256,0.004479266538830297,7.86493288590604e-05,0.024800755033557047,-4.15930263444617,-3.6101120817923302,-4.177878270663832,-3.6968811813731435
Ивановская область,2015,1011314.0,70.4,9.9,81.3,180517481.1,56.8,12.96,13.8,92.1,178.49795523447713,1.2815010965931452e-05,1.364561352853812e-05,5.184577145885046,-11.264893342437995,-11.202092441198968,13.826761033362123,677.0,103229.0,14209.0,1945.0,2348.0,27134.0,0.0006694261129579933,0.1020741332563378,0.014050037871521604,0.0019232404574642495,0.0023217319250005437,0.026830440397344446,-7.309089760449851,-2.2820559330558714,-4.265130187724051,-3.6182182003168717
Иркутская область,2015,2416463.0,67.46,7.8,78.9,1001717599.9,57.8,336.02,344.86,105.8,414.5387700535866,0.0001390544775566,0.0001427127168924,6.02716650470932,-8.880644776748445,-8.8546769211774,14.697815458749268,33459.0,131278.0,31315.0,8574.0,7442.0,90516.0,0.01384627035464644,0.05432650944789968,0.012959023167331758,0.003548161093300415,0.0030797078208935954,0.0374580533614626,-4.279739371086622,-2.9127429677143852,-4.345962963789756,-3.2845335491076377
Кабардино-Балкарская Республика,2015,875632.0,74.54,8.5,53.3,120528853.8,60.2,1.1,1.29,104.2,137.64784041697882,1.2562354961901804e-06,1.4732216273503025e-06,4.924698542522418,-13.587391010526922,-13.428058971957666,13.682701190331247,556.0,42564.0,7777.0,437.0,823.0,37713.0,0.000634969941710673,0.0486094615089444,0.008881584958064575,0.0004990681016682808,0.0009398925576041076,0.0430694629707457,-7.361932896080665,-3.0239370857696253,-4.723775251636304,-3.1449410487483065
Калининградская область,2015,973979.0,70.56,8.0,77.0,349818634.3,59.2,9.38,12.4,92.2,359.1644525189968,9.63059778496251e-06,1.2731280653895002e-05,5.883780368610505,-11.550565258799155,-11.2714485492063,13.78914502181729,2595.0,66348.0,8082.0,574.0,871.0,49666.0,0.002664328491682059,0.06812056522779239,0.008297920181030597,0.0005893350883335267,0.0008942697943179473,0.05099288588357655,-5.927803226217302,-2.6864761256913576,-4.791750376178872,-2.9760691484666832
Калужская область,2015,1034519.0,70.95,8.1,76.2,339760798.0,57.6,9.37,7.390000000000001,94.6,328.4239322815724,9.057349357527507e-06,7.143416408978472e-06,5.794305250323637,-11.611934046109305,-11.849319407399523,13.849447142359637,2110.0,119601.0,10806.0,5151.0,1370.0,51444.0,0.00203959521284771,0.11561024978758244,0.010445434061626707,0.004979125564634385,0.001324286939147565,0.04972745788139222,-6.195003915889524,-2.1575306606919087,-4.561590327955625,-3.0011980259736584
Камчатский край,2015,308290.0,68.23,9.1,77.6,175404827.1,62.7,98.08,19.83,103.4,568.9604823380583,0.0003181420091472,6.432255343994291e-05,6.343810980639025,-8.053012705221363,-9.65160023487746,12.638796177409166,3337.0,12400.0,8799.0,7.0,109.0,10869.0,0.010824223944986862,0.04022186901942976,0.028541308508222778,2.2705893801290993e-05,0.00035356320347724546,0.03525576567517597,-4.525968698657791,-3.213344425816037,-3.556402819763604,-3.345126197845978
Карачаево-Черкесская Республика,2015,469913.0,74.26,6.4,42.2,67482709.8,59.1,6.77,2.53,102.0,143.60681615533088,1.440692213239472e-05,5.3839753316039345e-06,4.967079121750386,-11.14780176324478,-12.132083547429533,13.06030285016896,1283.0,22628.0,4060.0,28.0,228.0,14431.0,0.0027302926286355135,0.048153594388748555,0.008639897172455327,5.958549774107122e-05,0.00048519619589157994,0.030709939925049955,-5.9033464855533255,-3.033359493705915,-4.7513645975731835,-3.483168900732884
Кемеровская область,2015,2716100.0,68.27,9.2,85.9,843345411.7,57.1,673.09,298.77,101.8,310.4986604690549,0.0002478148816317,0.000109999631825,5.738179587254904,-8.302828535561567,-9.115033539222914,14.814707585834178,115997.0,140444.0,44160.0,30228.0,10609.0,74443.0,0.042707190456905124,0.051707963624314277,0.016258606089613784,0.01112919259231987,0.0039059681160487462,0.027408048304554324,-3.153387978149071,-2.9621434740434274,-4.119132904883202,-3.5969185749765638
Кировская область,2015,1264004.0,70.88,8.4,75.4,282191042.8,55.8,52.32,58.88,103.3,223.251700785757,4.139227407508204e-05,4.658213106920548e-05,5.408299838028853,-10.092416311091952,-9.974293543820274,14.049795018240896,1210.0,115800.0,17127.0,3926.0,7297.0,30972.0,0.0009572754516599631,0.0916136341340692,0.013549798893041478,0.0031060028291049714,0.005772924769225414,0.02450308701554742,-6.951419379650108,-2.3901751741198627,-4.3013835736085255,-3.7089561687342805
