region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc
Алтайский край,2015,2334206.0,70.13,9.1,56.2,487903245.5,56.4,102.76,151.95,100.1,209.02321624569555,4.402353519783601e-05,6.509708226266233e-05
Амурская область,2015,804032.0,67.15,10.1,67.5,277380408.9,58.7,10.34,115.41,92.5,344.98677776506406,1.2860184669266895e-05,0.0001435390631218658
Архангельская область,2015,1094549.0,70.33,,76.8,400504517.7,50.9,85.64,114.27000000000001,101.9,365.90825783039406,7.824227147436981e-05,0.00010439916349108173
Астраханская область,2015,1006571.0,70.98,8.6,65.8,322302977.5,58.1,63.05,8.18,109.6,320.1989501982473,6.263840305353521e-05,8.126600110672769e-06
Белгородская область,2015,1551106.0,72.63,9.3,66.0,693379434.1,57.9,58.3,10.33,105.5,447.022598133203,3.758608373637907e-05,6.659764065125143e-06
Брянская область,2015,1226690.0,70.3,8.5,69.5,271782491.3,57.3,16.84,6.0600000000000005,113.5,221.55759914892926,1.3727999739135397e-05,4.940123421565351e-06
Владимирская область,2015,1408811.0,69.88,8.7,77.6,368489236.1,56.4,15.63,10.969999999999999,99.8,261.5604478528348,1.1094461925694788e-05,7.78670808220549e-06
Волгоградская область,2015,2569129.0,72.0,8.4,76.5,740457977.2,57.4,80.2,22.92,101.1,288.21362306057813,3.121680538423723e-05,8.921311463924156e-06
Вологодская область,2015,1188855.0,70.39,8.5,71.8,478893009.8,57.1,224.74,91.91999999999999,102.6,402.8186867195747,0.0001890390333556237,7.731809177738243e-05
Воронежская область,2015,2338257.0,71.67,8.5,67.1,805969634.9,57.6,31.87,12.89,103.7,344.68821643643105,1.362981058112945e-05,5.512653228451791e-06
Еврейская автономная область,2015,165149.0,64.92,8.5,69.3,44554774.9,58.2,12.38,14.459999999999999,91.3,269.78531447359654,7.496260952231017e-05,8.755729674415224e-05
Забайкальский край,2015,1068032.0,67.15,8.0,67.5,247666200.9,58.8,62.89,104.35,99.4,231.8902438316455,5.8884003475551295e-05,9.770306507670182e-05
Ивановская область,2015,1011314.0,70.4,9.9,81.3,180517481.1,56.8,12.96,13.8,92.1,178.49795523447713,1.2815010965931452e-05,1.3645613528538121e-05
Иркутская область,2015,2416463.0,67.46,7.8,78.9,1001717599.9,57.8,336.02,344.86,105.8,414.5387700535866,0.0001390544775566603,0.00014271271689241674
Кабардино-Балкарская Республика,2015,875632.0,74.54,8.5,53.3,120528853.8,60.2,1.1,1.29,104.2,137.64784041697882,1.2562354961901804e-06,1.4732216273503025e-06
Калининградская область,2015,973979.0,70.56,8.0,77.0,349818634.3,59.2,9.38,12.4,92.2,359.1644525189968,9.63059778496251e-06,1.2731280653895002e-05
Калужская область,2015,1034519.0,70.95,8.1,76.2,339760798.0,57.6,9.37,7.390000000000001,94.6,328.4239322815724,9.057349357527507e-06,7.1434164089784724e-06
Камчатский край,2015,308290.0,68.23,9.1,77.6,175404827.1,62.7,98.08,19.83,103.4,568.9604823380583,0.0003181420091472315,6.432255343994291e-05
Карачаево-Черкесская Республика,2015,469913.0,74.26,6.4,42.2,67482709.8,59.1,6.77,2.53,102.0,143.60681615533088,1.4406922132394719e-05,5.3839753316039345e-06
Кемеровская область,2015,2716100.0,68.27,9.2,85.9,843345411.7,57.1,673.09,298.77,101.8,310.4986604690549,0.00024781488163175145,0.00010999963182504325
Кировская область,2015,1264004.0,70.88,8.4,75.4,282191042.8,55.8,52.32,58.88,103.3,223.251700785757,4.139227407508204e-05,4.658213106920548e-05
Костромская область,2015,635251.0,70.13,10.6,71.4,160579751.0,56.1,24.22,32.05,91.5,252.78157924977685,3.812666174472767e-05,5.045249830382006e-05
Краснодарский край,2015,5542754.0,72.6,8.6,54.5,1933512135.6,57.2,79.49,29.57,104.8,348.83600022660215,1.434124624690181e-05,5.334893087443535e-06
Красноярский край,2015,2865506.0,69.72,8.3,77.7,1667041088.4,59.7,1259.17,305.21,99.0,581.7615068333481,0.0004394232641634671,0.00010651172951653215
Курганская область,2015,852225.0,68.85,7.8,62.0,179436329.9,54.2,33.7,25.06,101.8,210.5504179060694,3.954354777200857e-05,2.9405380034615272e-05
Курская область,2015,1116370.0,70.77,8.5,66.8,336999397.4,56.6,12.59,4.43,104.3,301.8707036197676,1.1277623010292287e-05,3.9682184222076905e-06
Ленинградская область,2015,1815091.0,71.36,6.5,65.4,849616556.2,59.0,119.56,33.269999999999996,99.6,468.0848267111677,6.586997566513194e-05,1.832965950467497e-05
Липецкая область,2015,1166590.0,71.11,7.8,63.7,448994309.7,56.9,151.7,9.72,100.8,384.8775574109156,0.00013003711672481333,8.331976101286657e-06
Магаданская область,2015,146453.0,67.93,10.5,95.9,125798292.9,62.0,14.08,18.0,107.5,858.9669921408233,9.61400585853482e-05,0.00012290632489604173
Москва,2015,12278053.0,76.45,10.8,100.0,13520862856.8,60.3,36.38,34.71,97.2,1101.2220632049723,2.9630105033754134e-06,2.8269954527806648e-06
Московская область,2015,7736019.0,72.9,8.5,79.8,3180924558.4,59.8,100.46,113.39,101.1,411.18365381470755,1.2986007402515427e-05,1.4657409709050612e-05
Мурманская область,2015,739001.0,69.9,8.2,93.0,401582689.6,61.6,140.8,75.53999999999999,106.8,543.4129177091777,0.00019052748237147177,0.00010221907683480807
Ненецкий автономный округ (Архангельская область),2015,42389.0,70.29,12.4,71.7,227193534.4,55.0,38.82,17.22,110.2,5359.728571091557,0.0009158036282997948,0.00040623746726745145
Нижегородская область,2015,3250563.0,70.11,8.3,79.4,1104643248.6,57.5,66.57,35.11,102.5,339.8313610903711,2.0479529238473455e-05,1.0801205821883778e-05
Новгородская область,2015,615245.0,68.63,7.7,71.3,234075725.6,55.3,21.06,45.8,102.7,380.4593708197547,3.423026599159684e-05,7.444188900356768e-05
Новосибирская область,2015,2761518.0,70.91,8.9,78.6,1021642902.8,59.0,96.47,138.12,101.0,369.95699568136075,3.493368502396146e-05,5.001596947765685e-05
Омская область,2015,1966641.0,70.39,9.3,72.3,618127725.2,58.6,95.3,130.0,100.4,314.306335116577,4.8458259539997386e-05,6.610255760965016e-05
Оренбургская область,2015,1967232.0,69.5,9.2,59.6,774962130.7,57.4,226.61,25.33,92.5,393.93530132694065,0.0001151923108204828,1.287595972411998e-05
Орловская область,2015,760828.0,70.34,8.6,66.3,208237918.7,56.6,5.45,4.49,100.2,273.6990735093871,7.1632484608873495e-06,5.901465245758568e-06
Пензенская область,2015,1346711.0,72.0,8.2,68.0,343328597.1,56.8,19.52,7.2,104.8,254.938585264396,1.4494572332148471e-05,5.346358647103944e-06
Пермский край,2015,2623408.0,69.06,9.1,75.7,1063780253.6,57.3,135.38,46.370000000000005,99.5,405.4955438117136,5.160463031293645e-05,1.7675481663546046e-05
Приморский край,2015,1921761.0,69.14,8.6,77.3,717609859.0,59.8,61.64,163.38,87.6,373.4126454850525,3.2074748108635775e-05,8.501577459423935e-05
Псковская область,2015,641655.0,68.35,7.6,70.3,135239497.6,55.9,13.55,12.469999999999999,102.8,210.76668552415236,2.111726706719343e-05,1.9434119581394985e-05
Республика Адыгея,2015,462600.0,72.4,9.2,50.5,84306017.5,57.0,5.15,1.5100000000000002,103.1,182.24387699956768,1.1132728058798099e-05,3.2641591007349767e-06
Республика Алтай,2015,209910.0,68.19,9.1,29.9,42165741.1,55.6,4.13,7.84,125.2,200.87533276165976,1.9675098851888904e-05,3.734934019341623e-05
Республика Башкортостан,2015,4109848.0,70.19,8.9,61.4,1316598267.2,58.3,214.06,83.34,101.3,320.35205856761615,5.2084651305839046e-05,2.027812220792594e-05
Республика Бурятия,2015,978553.0,69.1,8.5,59.3,202823397.5,58.0,53.53,97.50999999999999,101.6,207.26868907458257,5.4703219958448856e-05,9.964713204088076e-05
Республика Дагестан,2015,3018701.0,76.34,7.5,45.0,569297278.3,61.4,5.64,2.05,105.2,188.59015129355308,1.8683533082607386e-06,6.791000499883889e-07
Республика Ингушетия,2015,463232.0,78.47,8.6,45.9,50090979.1,59.1,0.23,0.01,100.4,108.13367621407848,4.965114672561482e-07,2.1587455098093396e-08
Республика Калмыкия,2015,278766.0,72.02,10.4,45.3,51958480.0,59.1,1.42,1.06,99.7,186.3874360574819,5.093878019557622e-06,3.8024723244585066e-06
Республика Карелия,2015,601899.0,68.72,9.4,79.0,212049538.8,57.2,62.7,32.39,99.7,352.30086575987,0.00010417030099734341,5.381301514041392e-05
Республика Коми,2015,831076.0,69.14,10.3,77.4,528403419.7,60.2,311.19,113.35,101.6,635.8063759511765,0.0003744422892731832,0.00013638945174689198
Республика Крым,2015,1904256.0,70.5,7.1,50.7,265970577.7,56.1,11.35,5.1899999999999995,123.0,139.67165008276197,5.960333064461921e-06,2.7254738858640854e-06
Республика Марий Эл,2015,688676.0,69.84,9.3,65.4,171689478.4,58.1,16.13,11.16,108.5,249.30370508047326,2.342175420662256e-05,1.6205007870174074e-05
Республика Мордовия,2015,812533.0,72.14,9.8,61.6,180352298.3,59.0,16.54,6.42,98.1,221.96304433173793,2.035609630624233e-05,7.901217550548717e-06
