region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg
Алтайский край,2015,2334206.0,70.13,9.1,56.2,487903245.5,56.4,102.76,151.95,100.1,209.02321624569555,4.402353519783601e-05,6.509708226266233e-05,5.342445328310895,-10.030786176189228,-9.639630829068109,14.66318234843091
Амурская область,2015,804032.0,67.15,10.1,67.5,277380408.9,58.7,10.34,115.41,92.5,344.98677776506406,1.2860184669266895e-05,0.0001435390631218,5.843506090978271,-11.261374479283807,-8.848903342932235,13.597394348364089
Архангельская область,2015,1094549.0,70.33,,76.8,400504517.7,50.9,85.64,114.27,101.9,365.90825783039406,7.824227147436981e-05,0.000104399163491,5.90238264031489,-9.455700500522507,-9.16728889508615,13.90585296424399
Астраханская область,2015,1006571.0,70.98,8.6,65.8,322302977.5,58.1,63.05,8.18,109.6,320.1989501982473,6.263840305353521e-05,8.126600110672769e-06,5.768942521975876,-9.6781320006435,-11.720367912439771,13.822060063054428
Белгородская область,2015,1551106.0,72.63,9.3,66.0,693379434.1,57.9,58.3,10.33,105.5,447.022598133203,3.758608373637907e-05,6.659764065125143e-06,6.102609148443539,-10.188876689471465,-11.919426499696366,14.254478782827912
Брянская область,2015,1226690.0,70.3,8.5,69.5,271782491.3,57.3,16.84,6.0600000000000005,113.5,221.55759914892928,1.3727999739135395e-05,4.940123421565351e-06,5.400682596984732,-11.196073034221042,-12.218120242954,14.019830043035224
Владимирская область,2015,1408811.0,69.88,8.7,77.6,368489236.1,56.4,15.63,10.97,99.8,261.5604478528348,1.1094461925694788e-05,7.78670808220549e-06,5.566665414929087,-11.409064499763865,-11.763092369910112,14.158256644197252
Волгоградская область,2015,2569129.0,72.0,8.4,76.5,740457977.2,57.4,80.2,22.92,101.1,288.21362306057813,3.121680538423723e-05,8.921311463924156e-06,5.66370195191591,-10.374553974049952,-11.627067597075882,14.759077488922422
Вологодская область,2015,1188855.0,70.39,8.5,71.8,478893009.8,57.1,224.74,91.92,102.6,402.8186867195747,0.0001890390333556,7.731809177738243e-05,5.998486551822884,-8.573557038537121,-9.467582583476252,13.988501217016752
Воронежская область,2015,2338257.0,71.67,8.5,67.1,805969634.9,57.6,31.87,12.89,103.7,344.68821643643105,1.362981058112945e-05,5.512653228451791e-06,5.842640287955707,-11.203251209554935,-12.108464521033083,14.66491633798418
