number,value,datetime_start,datetime_complete,duration,params_C,params_penalty,params_solver,state
0,0.24864387071084937,2025-11-08 17:26:47.773001,2025-11-08 17:26:50.237767,0 days 00:00:02.464766,0.001840168230066852,l1,saga,COMPLETE
1,0.24918657641784892,2025-11-08 17:26:50.255266,2025-11-08 17:26:50.713278,0 days 00:00:00.458012,0.00216993501113407,l2,lbfgs,COMPLETE
2,0.2491667060256466,2025-11-08 17:26:50.726971,2025-11-08 17:26:54.831714,0 days 00:00:04.104743,0.6511498605668439,l1,saga,COMPLETE
3,,2025-11-08 17:26:54.846245,2025-11-08 17:26:54.857444,0 days 00:00:00.011199,0.012576871417784272,l1,lbfgs,PRUNED
4,0.24916862903141745,2025-11-08 17:26:54.866156,2025-11-08 17:26:59.088144,0 days 00:00:04.221988,0.47824286470631705,l1,saga,COMPLETE
5,0.24917099774843887,2025-11-08 17:26:59.104328,2025-11-08 17:26:59.684063,0 days 00:00:00.579735,0.10339280155573213,l2,liblinear,COMPLETE
6,0.24920249067218925,2025-11-08 17:26:59.698592,2025-11-08 17:27:03.206241,0 days 00:00:03.507649,0.0021724395924632234,l2,saga,COMPLETE
7,0.24916252202641775,2025-11-08 17:27:03.221215,2025-11-08 17:27:07.219172,0 days 00:00:03.997957,0.7421568019993453,l2,saga,COMPLETE
8,0.24920040548038358,2025-11-08 17:27:07.234003,2025-11-08 17:27:07.798467,0 days 00:00:00.564464,0.016803655624671895,l2,liblinear,COMPLETE
9,0.2492253464888028,2025-11-08 17:27:07.811842,2025-11-08 17:27:17.005204,0 days 00:00:09.193362,0.05143094009929514,l1,liblinear,COMPLETE
10,0.24916786135085456,2025-11-08 17:27:17.020825,2025-11-08 17:27:26.696049,0 days 00:00:09.675224,5.991652088479847,l1,liblinear,COMPLETE
11,0.24920466116183482,2025-11-08 17:27:26.714144,2025-11-08 17:27:27.268297,0 days 00:00:00.554153,0.014826576262543436,l2,liblinear,COMPLETE
12,0.24927111058220408,2025-11-08 17:27:27.284012,2025-11-08 17:27:36.103179,0 days 00:00:08.819167,0.021676862407276697,l1,liblinear,COMPLETE
13,0.2492064183774374,2025-11-08 17:27:36.118334,2025-11-08 17:27:45.600767,0 days 00:00:09.482433,0.0789641011248528,l1,liblinear,COMPLETE
14,0.24920325274632127,2025-11-08 17:27:45.616591,2025-11-08 17:27:54.921202,0 days 00:00:09.304611,0.08859088500716474,l1,liblinear,COMPLETE
15,0.24926447657270723,2025-11-08 17:27:54.937721,2025-11-08 17:28:03.846510,0 days 00:00:08.908789,0.023679616267732743,l1,liblinear,COMPLETE
16,0.2490307064282058,2025-11-08 17:28:03.862908,2025-11-08 17:28:10.409485,0 days 00:00:06.546577,0.006222047844831095,l1,liblinear,COMPLETE
17,,2025-11-08 17:28:10.426612,2025-11-08 17:28:10.440767,0 days 00:00:00.014155,0.26704209638177717,l1,lbfgs,PRUNED
18,0.2492524415680344,2025-11-08 17:28:10.448972,2025-11-08 17:28:19.308244,0 days 00:00:08.859272,0.029360862216967095,l1,liblinear,COMPLETE
19,0.24908409366568418,2025-11-08 17:28:19.324151,2025-11-08 17:28:26.089295,0 days 00:00:06.765144,0.006672383859124956,l1,liblinear,COMPLETE
20,,2025-11-08 17:28:26.108456,2025-11-08 17:28:26.124391,0 days 00:00:00.015935,8.324378045196214,l1,lbfgs,PRUNED
21,0.24925214162398568,2025-11-08 17:28:26.133390,2025-11-08 17:28:34.919742,0 days 00:00:08.786352,0.02957141270746296,l1,liblinear,COMPLETE
22,0.24893489612963515,2025-11-08 17:28:34.935968,2025-11-08 17:28:40.942990,0 days 00:00:06.007022,0.005657361479954321,l1,liblinear,COMPLETE
23,0.24924246532485062,2025-11-08 17:28:40.958660,2025-11-08 17:28:52.575425,0 days 00:00:11.616765,0.03363007662508175,l1,liblinear,COMPLETE
24,0.24918492332167563,2025-11-08 17:28:52.589847,2025-11-08 17:29:02.262022,0 days 00:00:09.672175,0.19116769091925004,l1,liblinear,COMPLETE
25,0.24925756264212873,2025-11-08 17:29:02.278043,2025-11-08 17:29:11.319453,0 days 00:00:09.041410,0.027030836484966868,l1,liblinear,COMPLETE
26,0.2486688313417762,2025-11-08 17:29:11.334898,2025-11-08 17:29:12.409490,0 days 00:00:01.074592,0.004005017656259013,l1,liblinear,COMPLETE
27,0.24916868669756287,2025-11-08 17:29:12.424570,2025-11-08 17:29:21.985527,0 days 00:00:09.560957,2.1317987562221172,l1,liblinear,COMPLETE
28,,2025-11-08 17:29:22.000960,2025-11-08 17:29:22.014849,0 days 00:00:00.013889,0.010970925758929691,l1,lbfgs,PRUNED
29,0.24805227932986007,2025-11-08 17:29:22.023374,2025-11-08 17:29:22.884418,0 days 00:00:00.861044,0.0010120130589991545,l1,liblinear,COMPLETE
