TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE,Ticker
2022-01-03,TQBR,Система ао,AFKS,16818,759980949.2,23.45,23.311,24.55,24.3,24.19,24.517,31417000,24.207,24.207,24.3,627894940.4,627894940.4,627894940.4,0,3,SUR,4.93,,AFKS
2022-01-03,TQBR,Аэрофлот,AFLT,21502,554791584.6,59.16,59.1,60.9,60.78,60.24,60.7,9208620,60.28,60.28,60.78,441660380.6,441660380.6,441660380.6,0,3,SUR,2.6,,AFLT
2022-01-03,TQBR,АЛРОСА ао,ALRS,25172,1151539997.0,122.46,122.22,123.91,122.8,123.12,123.27,9352780,123.14,123.14,122.8,935618799.5,935618799.5,935618799.5,0,3,SUR,0.76,,ALRS
2022-01-03,TQBR,Башнефт ап,BANEP,2690,70031488.0,1010.0,1000.5,1028.0,1026.0,1019.5,1026.0,68693,1019.5,1019.5,1026.0,70031488.0,70031488.0,70031488.0,0,3,SUR,3.06,,BANEP
2022-01-03,TQBR,БСП ао,BSPB,2196,21496823.1,81.8,81.02,85.0,84.18,83.67,84.18,256920,83.67,83.67,84.18,21496823.1,21496823.1,21496823.1,0,3,SUR,3.29,,BSPB
2022-01-03,TQBR,МКБ ао,CBOM,3975,221849091.3,6.901,6.73,7.056,7.044,6.991,7.041,31733800,7.024,7.024,7.044,142710945.0,142710945.0,142710945.0,0,3,SUR,2.76,,CBOM
2022-01-03,TQBR,СевСт-ао,CHMF,18735,734779022.4,1600.4,1594.0,1621.0,1618.8,1613.4,1619.8,455403,1614.4,1614.4,1618.8,579523522.8,579523522.8,579523522.8,0,3,SUR,0.97,,CHMF
2022-01-03,TQBR,Телеграф,CNTL,495,2476924.0,12.12,11.76,12.24,12.06,11.94,12.06,207300,11.94,11.94,12.06,2476924.0,2476924.0,2476924.0,0,3,SUR,1.01,,CNTL
2022-01-03,TQBR,Телеграф-п,CNTLP,250,1891708.0,8.28,8.0,8.28,8.16,8.12,8.16,233100,8.12,8.12,8.16,1891708.0,1891708.0,1891708.0,0,3,SUR,0.99,,CNTLP
2022-01-03,TQBR,ДетскийМир,DSKY,10188,117588325.8,125.26,124.52,127.58,127.0,126.8,126.74,927380,126.96,126.96,127.0,90242789.4,90242789.4,90242789.4,0,3,SUR,1.6,,DSKY
2022-01-03,TQBR,ДЭК ао,DVEC,817,7434593.0,1.245,1.24,1.314,1.271,1.281,1.274,5802000,1.281,1.281,1.271,7434593.0,7434593.0,7434593.0,0,3,SUR,2.74,,DVEC
2022-01-03,TQBR,Электрцинк,ELTZ,60,21691.0,167.5,163.5,171.5,169.5,169.5,170.5,128,,169.5,169.5,0.0,504730.0,0.0,0,3,SUR,1.19,,ELTZ
2022-01-03,TQBR,ЭталонГруп,ETLN,4329,38396658.02,85.96,85.54,88.24,87.9,87.38,87.9,439381,87.38,87.38,87.9,38396658.02,38396658.02,38396658.02,0,3,SUR,2.81,,ETLN
2022-01-03,TQBR,Россети,FEES,7103,296638674.8,0.163,0.16226,0.16768,0.16714,0.1652,0.16664,1795740000,0.16498,0.16498,0.16714,236115453.6,236115453.6,236115453.6,0,3,SUR,2.43,,FEES
2022-01-03,TQBR,ГАЗПРОМ ао,GAZP,102719,14049786413.6,345.0,344.3,353.88,350.9,350.21,353.73,40118360,350.62,350.62,350.9,10426978198.3,10426978198.3,10426978198.3,0,3,SUR,3.31,,GAZP
2022-01-03,TQBR,GLTR-гдр,GLTR,2644,55923837.0,640.0,623.0,647.9,637.4,636.75,628.55,87830,638.65,638.65,637.4,34122737.0,34122737.0,34122737.0,0,3,SUR,-1.48,,GLTR
2022-01-03,TQBR,ГМКНорНик,GMKN,30007,4555273712.0,22998.0,22962.0,23450.0,23284.0,23314.0,23378.0,195400,23332.0,23332.0,23284.0,3255974002.0,3255974002.0,3255974002.0,0,3,SUR,2.09,,GMKN
2022-01-03,TQBR,HHRU-адр,HHRU,2259,63265745.0,3898.0,3810.0,3960.0,3894.0,3872.0,3873.0,16340,3876.0,3876.0,3894.0,43976813.0,43976813.0,43976813.0,0,3,SUR,-0.41,,HHRU
2022-01-03,TQBR,РусГидро,HYDR,9857,142395701.9,0.7435,0.7409,0.7518,0.7485,0.7482,0.7493,190312000,0.7487,0.7487,0.7485,105833422.1,105833422.1,105833422.1,0,3,SUR,0.78,,HYDR
2022-01-03,TQBR,Ижсталь2ао,IGST,76,416858.0,2590.0,2525.0,2620.0,2567.0,2589.0,2590.0,161,,2577.0,2567.0,0.0,525770.0,0.0,0,3,SUR,1.81,,IGST
2022-01-03,TQBR,Ижсталь ап,IGSTP,40,273138.0,2140.0,2140.0,2199.0,2160.0,2168.0,2160.0,126,,2163.0,2160.0,0.0,506124.0,0.0,0,3,SUR,1.03,,IGSTP
2022-01-03,TQBR,ИнтерРАОао,IRAO,17763,681353817.55,4.273,4.26,4.413,4.4,4.364,4.385,156131800,4.3655,4.3655,4.4,619233617.2,619233617.2,619233617.2,0,3,SUR,2.93,,IRAO
2022-01-03,TQBR,КАМАЗ,KMAZ,1856,15961513.0,105.1,105.1,114.0,110.8,110.1,110.8,144970,110.1,110.1,110.8,15961513.0,15961513.0,15961513.0,0,3,SUR,5.52,,KMAZ
2022-01-03,TQBR,РСетКубань,KUBE,8,16699.0,67.2,66.7,67.2,66.7,66.8,66.7,250,,65.7,66.7,0.0,500942.0,0.0,0,3,SUR,0.3,,KUBE
2022-01-03,TQBR,КузнецкийБ,KUZB,1166,4206667.6,0.018,0.01786,0.021,0.01915,0.01941,0.01915,216710000,0.01941,0.01941,0.01915,4206667.6,4206667.6,4206667.6,0,3,SUR,6.39,,KUZB
2022-01-03,TQBR,ОргСинт ао,KZOS,573,4334187.0,97.1,96.0,98.0,96.8,97.0,96.9,44700,97.0,97.0,96.8,4334187.0,4334187.0,4334187.0,0,3,SUR,0.31,,KZOS
2022-01-03,TQBR,ОргСинт ап,KZOSP,1271,8674623.0,26.7,26.13,27.22,26.35,26.63,26.35,325760,26.63,26.63,26.35,8674623.0,8674623.0,8674623.0,0,3,SUR,0.96,,KZOSP
2022-01-03,TQBR,Лента ао,LENT,480,5220595.4,998.4,970.0,1021.4,1004.2,1000.4,1001.4,5219,1000.4,1000.4,1004.2,5220595.4,5220595.4,5220595.4,0,3,SUR,0.34,,LENT
2022-01-03,TQBR,ЛУКОЙЛ,LKOH,28301,4068314285.5,6592.0,6586.0,6705.5,6649.0,6659.5,6683.0,610921,6666.5,6666.5,6649.0,3302554558.0,3302554558.0,3302554558.0,0,3,SUR,1.67,,LKOH
2022-01-03,TQBR,ЛЭСК ао,LPSB,63,211560.0,9.25,9.15,9.4,9.35,9.3,9.35,22800,,9.2,9.35,0.0,529805.0,0.0,0,3,SUR,1.08,,LPSB
2022-01-03,TQBR,РСетиЛЭ,LSNG,762,6439848.0,8.3,8.3,8.77,8.66,8.66,8.66,743500,8.66,8.66,8.66,6439848.0,6439848.0,6439848.0,0,3,SUR,3.84,,LSNG
2022-01-03,TQBR,РСетиЛЭ-п,LSNGP,1028,10694770.0,171.5,168.95,173.9,173.6,173.3,173.6,61710,173.3,173.3,173.6,10694770.0,10694770.0,10694770.0,0,3,SUR,2.42,,LSNGP
2022-01-03,TQBR,ЛСР ао,LSRG,4554,58185722.2,612.0,610.2,622.6,614.6,615.0,614.6,94619,615.0,615.0,614.6,58185722.2,58185722.2,58185722.2,0,3,SUR,0.92,,LSRG
2022-01-03,TQBR,ММК,MAGN,30470,866612844.85,69.65,69.65,70.87,70.655,70.47,70.835,12297840,70.52,70.52,70.655,622627816.6,622627816.6,622627816.6,0,3,SUR,1.7,,MAGN
