monthly_spending,premium_subscription,income,age,urban_area,family_size,free_trial_banner
11721.117829807523,1,38452.71941150437,24.0,1,2,0
10911.269376834327,1,108953.09236291295,27.0,1,2,1
8642.447791471805,0,76228.39034764419,53.0,1,1,0
1.0,0,31158.82039996152,52.0,1,1,0
7228.550017637341,0,49548.133697612044,48.0,0,3,0
10946.686159738785,1,151103.1913091787,31.0,1,2,1
6677.221827121336,0,19666.272237601737,28.0,1,3,0
10891.476331300104,1,53398.80709062602,30.0,0,4,0
14743.659664754785,1,124612.98948157876,46.0,0,1,0
17556.92967755271,1,42900.11557066818,42.0,1,2,0
4320.600176441295,0,47124.90572364115,36.0,1,2,0
11457.503001471268,0,63110.69427397959,45.0,1,4,0
19901.26526123903,1,139482.55421916285,38.0,0,3,0
10508.865004571722,0,48076.51107872071,51.0,1,3,0
831.185586873981,0,52997.97690367692,45.0,1,2,0
8376.98657676533,0,53253.79572174073,39.0,1,2,0
17572.045292537223,1,199379.44388729468,47.0,1,2,1
24184.12054083328,1,197480.0892835114,35.0,0,3,0
15343.788656513532,1,109319.15921190071,48.0,0,1,0
2294.868599942756,0,80265.34194358754,26.0,0,1,1
14452.369994387032,1,95672.31899963136,34.0,0,2,1
20773.06347229541,1,139436.70003548468,18.0,0,1,1
9634.762266347198,0,41443.36460316613,27.0,1,2,1
5458.000842900043,0,119123.31813776321,36.0,0,1,0
7129.417645891019,0,35350.211916842585,27.0,0,3,0
2987.4833956554785,0,48104.174909054265,49.0,0,5,0
20314.118339391338,1,104146.37056187016,31.0,1,2,1
13135.195048611475,1,32391.769764151442,41.0,1,4,0
7962.3291193962705,1,61695.46089872484,37.0,1,1,1
9048.804821990836,1,43007.18836873941,43.0,1,1,0
15501.131402682486,1,58232.00022923655,37.0,1,2,1
10843.902292829136,1,16329.12247069157,51.0,1,3,0
3223.199972421539,0,27288.84931528511,18.0,1,2,0
13864.350683837425,1,46632.89081846938,40.0,1,4,0
15791.586804277671,1,105211.85003700216,36.0,1,3,0
14652.985815943855,1,60668.63722565641,18.0,1,3,1
18586.378909606723,1,66265.38597047125,40.0,1,3,0
5619.664770948896,1,93350.01928436384,25.0,0,2,1
2027.3233491316378,0,42626.51806993115,41.0,1,1,0
13234.344439328126,0,76253.12383082876,53.0,1,3,0
27252.446106243027,1,44236.9964170336,21.0,1,5,1
3422.5692982289393,0,27893.95431025275,33.0,0,2,0
17211.081985809975,1,54423.4335088415,34.0,1,3,0
7956.049390679359,0,88159.49809030845,38.0,1,2,0
5063.561273451925,0,78377.68419884502,41.0,1,1,0
3681.1786684585163,1,65780.89678600688,36.0,0,1,0
20303.72272438127,1,218858.92715012803,37.0,1,2,1
13452.486919073915,1,81345.11650329683,18.0,1,3,1
10265.586800614576,0,107944.01617627851,37.0,1,2,0
26144.366400956256,1,202616.7756609168,48.0,1,3,1
4891.584952379851,0,34646.68532476968,28.0,0,2,0
3963.3189782323107,0,39363.95760021791,43.0,1,2,0
25227.26549404,1,158238.09570460592,26.0,0,3,0
17852.07312743835,1,44398.84046292765,47.0,1,5,1
6775.736448671258,0,67160.57112839463,56.0,1,4,0
16786.305110434856,1,112945.19552725507,46.0,1,3,1
5235.130487711689,0,103295.92391808431,35.0,0,2,0
13864.942396501488,1,159124.64278559698,42.0,0,2,1
9041.806060567105,0,139779.58506167505,49.0,1,2,1
14045.87127546991,1,112949.52707445156,45.0,1,2,1
1676.8187530158066,0,44965.26774613915,30.0,0,2,0
19459.540240409817,1,98462.52854280881,56.0,1,3,0
6592.704210218759,0,77430.49678261403,21.0,1,2,1
2187.262711681265,0,34093.67867643684,30.0,1,1,1
18984.581441645798,1,134409.92125904717,22.0,1,2,1
11819.949127136892,1,99073.59802244598,40.0,0,1,0
2069.833404154355,0,67693.47277648571,30.0,0,2,0
17697.19994061527,1,58891.61322938471,34.0,0,4,0
765.4245681921911,0,36346.363171351724,22.0,1,2,1
7574.139395773622,0,73113.04154834278,48.0,1,2,0
13918.112850448426,1,83635.18299163257,23.0,0,2,0
8251.925966645862,0,43670.2559680337,53.0,1,4,0
23868.412207163707,1,118314.54878774995,30.0,1,4,1
5148.680672146368,0,38230.86592190711,25.0,1,2,0
3875.2836902827057,0,22889.872091773657,42.0,1,2,0
12819.011743880146,1,111286.53442536463,40.0,1,3,0
17144.58644460995,1,54085.26062999921,36.0,1,3,1
8043.366627766745,0,62130.059911102646,49.0,0,2,0
4611.706253392142,1,43531.567284124474,35.0,1,1,1
4056.1422723200603,0,29644.10661691424,39.0,1,2,0
19904.984821597944,1,123948.15934361974,40.0,1,1,1
7838.757320654666,0,46890.271774895045,40.0,1,3,0
2448.455655944397,0,151823.84967312418,27.0,0,3,1
16994.265205013777,1,99077.1474785279,42.0,1,3,1
2497.8581724277724,0,56535.3240749221,30.0,1,2,1
2287.311411951088,0,38447.494083794816,21.0,0,2,0
7456.80895858239,0,45879.285901547155,45.0,1,2,0
4480.023639798238,0,36088.82120492598,42.0,0,1,0
31716.47540858764,1,187879.61290243448,23.0,1,4,1
5610.240714424834,0,71841.71786859253,28.0,0,3,0
7375.41419219366,0,117606.87472374966,45.0,1,2,1
8184.559558521228,1,35112.903939416276,18.0,1,2,0
8089.21811354115,0,72440.2646093987,47.0,1,5,0
4854.805914231061,0,119244.46223653998,51.0,0,1,0
49.647757921688026,0,55965.718858818815,39.0,1,2,1
19229.61095177941,1,110808.32983224146,27.0,1,4,1
4302.150510837624,0,38473.15652569927,46.0,1,2,0
8547.73349963452,0,33465.29556940463,36.0,1,3,0
16693.43260953777,1,79993.4716570288,19.0,1,2,1
14035.195389762355,1,54743.38304305211,22.0,1,2,1
8012.555679661522,0,91219.80792465401,37.0,0,5,0
4840.1294231559295,0,24613.63986307811,52.0,0,2,0
23795.594247669887,1,94478.94814716735,28.0,1,4,0
24889.414725786424,1,242595.80017974082,48.0,1,3,1
10706.762950493494,1,65361.39085928302,36.0,1,3,0
5300.963612726517,0,67310.46924994595,43.0,0,2,0
8054.13840200978,0,72386.474333237,52.0,0,4,0
1260.9095829096595,0,26082.29849421655,42.0,1,2,0
17965.82636019111,1,81885.18153606798,37.0,1,2,0
6447.380904617447,0,29652.30459329566,58.0,1,3,0
10389.370880474387,0,53431.73842602747,56.0,1,3,0
13767.456193042783,1,123184.03982342721,47.0,1,2,0
15375.863692496447,1,45816.13139480755,26.0,1,2,0
