Возраст,Шаги
63,7431.497885551629
20,10666.241855699905
46,5215.2321702709705
52,9051.577198809015
56,7176.134884465286
35,8190.215621657097
37,10881.078801346956
60,8571.901150658123
40,7910.512131754579
51,8121.768048033412
50,9937.574620604766
65,1623.037247711969
27,9271.105912329916
50,8245.747057305922
64,7585.224127809484
50,8000.356196389529
65,8151.871437211458
43,8977.081089821007
37,9072.452938010429
32,14431.552512514298
54,7727.773880577308
50,7371.4071844158025
34,13183.9825041127
22,10701.141573606914
21,12447.122311403906
20,9912.661579655729
38,12870.998186411076
57,7888.855157234394
20,11440.972041291134
38,5764.161031857192
65,3813.4955260394777
25,11185.124512841925
59,7152.752944697958
53,11614.469651412428
46,6307.197474317727
56,10671.789977310169
51,7193.27648769012
39,8547.966272943071
48,10339.833006090228
45,10067.816480411171
52,7296.434744957318
51,12297.602744399092
30,9297.914504542212
58,10403.709854817038
21,13948.179000397246
60,8587.816835085343
23,12746.620616205026
18,12033.551614023785
29,10796.485821969203
52,5699.940032288563
28,10111.300908516925
40,8383.559549778427
31,12652.991631965397
36,8504.196421493565
54,10884.382696905088
33,12147.847558860492
61,8055.416847962732
45,11770.724369367228
62,7585.512390274911
48,7511.352502648319
24,12184.98070048492
63,6102.0662152405885
44,12799.507065027234
34,11209.675469942196
24,11262.78864953738
32,7612.204238153513
57,7737.178240588669
29,11216.170291620125
25,11081.651289726418
19,10362.647949085802
61,5063.9003985467025
55,6426.335454399884
43,11087.420566237904
38,9187.271418041119
30,14657.661910434801
36,12221.42358496926
35,10688.418735315878
19,11377.577234263077
62,6429.276546018436
59,7718.860916935569
45,9432.568549091291
40,7792.383326807567
21,8747.77438300593
21,11372.79306102803
29,11209.843542913291
39,8615.313432956234
43,10394.392772937339
57,5941.339090666392
59,8841.163569751863
52,8138.33965214939
21,14181.715397467437
29,11857.8633258352
21,12217.715654953612
48,9212.844062058775
24,13012.93041805826
27,8076.929980469625
41,10022.326313377094
32,9023.761217352505
56,11042.013816306866
37,11757.652225646067
24,13623.101436808682
30,9900.438646977262
45,11419.342882328974
56,7411.146780198827
35,14253.528049942204
64,5347.698467077078
28,8356.809133394994
53,7669.176097842165
53,10178.506523654907
19,11371.564835526398
65,7895.705316292876
63,7699.01936583758
34,11971.789067957494
23,11404.588527796028
58,6991.38678488301
63,8756.058307257634
40,10798.39578989502
64,8211.861543069335
33,10740.339012362416
58,7925.497076841249
43,11293.120920091584
63,9075.96123407455
18,10859.43751073827
53,8392.898041640918
47,8346.118716835184
19,13046.74388084106
37,8864.9444349448
22,11716.12952192205
48,6057.168087654152
25,12719.824486221794
47,10768.018784137297
56,6224.904767641353
19,13914.042463478396
30,9442.40522684802
21,12208.462287721348
62,7739.518116456626
25,9860.888923752218
56,6959.628083152425
42,9585.318118716425
24,10598.37061969387
31,12478.562638653613
46,7016.499030735024
62,8715.087182252615
38,9514.699386998876
54,7707.043886548137
50,9191.714296100485
58,9000.278551146876
42,10143.506117071804
63,8142.069131157297
31,10754.711780911524
26,10355.715223598663
32,10545.039031057626
24,15798.217334176383
19,14616.434928368057
48,10768.316600277267
24,11816.830152734346
58,9029.470182440327
28,10626.543847485802
30,8347.443675738747
30,8585.035643326128
43,8185.742020411959
60,7475.639919542721
25,14490.761084626423
31,9965.769812295892
62,8541.182671056742
19,11414.687927471778
59,5185.017535623729
32,10332.676746792777
41,7103.620280808416
51,6185.222922980866
21,12829.589108141157
35,11587.937435394968
42,9962.680870903036
64,2282.3057516604904
41,10470.99580023897
23,12676.993761359287
51,11233.133144229958
55,8409.72631810171
20,12563.197107013551
36,7187.006141993717
64,6299.629137899978
63,7706.0156412074
53,10248.632031104444
36,11623.914414567676
45,9723.629696777043
64,11879.730803811894
27,11329.390731850766
35,9112.495791750584
21,13509.575357384694
29,13591.657890903945
44,8759.604102078873
46,9543.15072521187
29,10922.514819434942
28,9493.19118338911
21,9740.717258051844
63,7160.504052813546
41,11255.694260108441
43,9164.909847594865
45,8458.982246932987
64,7991.344994364301
