горизонт,шок,отклик,IRF
0,Белгородская область,Белгородская область,0.7193
0,Курская область,Белгородская область,0.0
0,Воронежская область,Белгородская область,0.0
0,Белгородская область,Курская область,0.6384
0,Курская область,Курская область,0.4503
0,Воронежская область,Курская область,0.0
0,Белгородская область,Воронежская область,0.7849
0,Курская область,Воронежская область,0.2404
0,Воронежская область,Воронежская область,0.6447
1,Белгородская область,Белгородская область,0.1638
1,Курская область,Белгородская область,-0.0249
1,Воронежская область,Белгородская область,0.2678
1,Белгородская область,Курская область,-0.0189
1,Курская область,Курская область,0.1695
1,Воронежская область,Курская область,0.2841
1,Белгородская область,Воронежская область,-0.2378
1,Курская область,Воронежская область,0.2557
1,Воронежская область,Воронежская область,-0.0271
2,Белгородская область,Белгородская область,-0.37
2,Курская область,Белгородская область,0.0505
2,Воронежская область,Белгородская область,-0.0067
2,Белгородская область,Курская область,-0.5651
2,Курская область,Курская область,0.0959
2,Воронежская область,Курская область,-0.4591
2,Белгородская область,Воронежская область,-0.0535
2,Курская область,Воронежская область,0.0201
2,Воронежская область,Воронежская область,-0.2935
3,Белгородская область,Белгородская область,-0.0487
3,Курская область,Белгородская область,-0.011
3,Воронежская область,Белгородская область,-0.1571
3,Белгородская область,Курская область,0.0068
3,Курская область,Курская область,-0.0172
3,Воронежская область,Курская область,-0.7084
3,Белгородская область,Воронежская область,-0.372
3,Курская область,Воронежская область,-0.0313
3,Воронежская область,Воронежская область,-0.5523
4,Белгородская область,Белгородская область,0.0472
4,Курская область,Белгородская область,-0.0476
4,Воронежская область,Белгородская область,-0.0528
4,Белгородская область,Курская область,0.0399
4,Курская область,Курская область,-0.1165
4,Воронежская область,Курская область,0.0571
4,Белгородская область,Воронежская область,-0.0276
4,Курская область,Воронежская область,-0.0621
4,Воронежская область,Воронежская область,-0.1068
5,Белгородская область,Белгородская область,-0.0067
5,Курская область,Белгородская область,0.0018
5,Воронежская область,Белгородская область,0.0246
5,Белгородская область,Курская область,-0.188
5,Курская область,Курская область,0.0481
5,Воронежская область,Курская область,0.1272
5,Белгородская область,Воронежская область,0.0017
5,Курская область,Воронежская область,-0.007
5,Воронежская область,Воронежская область,0.1776
