уравнение,параметр,коэффициент,стандартная ошибка,t-статистика,p-value
Белгородская область,const,-0.2256,0.1951,-1.1563,0.2476
Белгородская область,L1.Белгородская область,0.0204,0.4233,0.0481,0.9616
Белгородская область,L1.Курская область,-0.2771,0.3668,-0.7554,0.45
Белгородская область,L1.Воронежская область,0.4154,0.3387,1.2266,0.22
Белгородская область,L2.Белгородская область,-0.4473,0.2396,-1.867,0.0619
Белгородская область,L2.Курская область,-0.0827,0.3533,-0.2342,0.8148
Белгородская область,L2.Воронежская область,0.1208,0.4009,0.3013,0.7632
Белгородская область,L3.Белгородская область,-0.0465,0.3486,-0.1333,0.8939
Белгородская область,L3.Курская область,-0.0355,0.2474,-0.1435,0.8859
Белгородская область,L3.Воронежская область,-0.0242,0.2703,-0.0897,0.9285
Курская область,const,-0.4476,0.2119,-2.1121,0.0347
Курская область,L1.Белгородская область,-0.6323,0.4598,-1.3752,0.1691
Курская область,L1.Курская область,0.1412,0.3983,0.3544,0.7231
Курская область,L1.Воронежская область,0.4406,0.3679,1.1977,0.231
Курская область,L2.Белгородская область,-0.0767,0.2602,-0.2948,0.7681
Курская область,L2.Курская область,0.138,0.3837,0.3596,0.7191
Курская область,L2.Воронежская область,-0.4931,0.4354,-1.1326,0.2574
Курская область,L3.Белгородская область,0.0292,0.3786,0.077,0.9386
Курская область,L3.Курская область,0.6629,0.2686,2.4674,0.0136
Курская область,L3.Воронежская область,-0.8538,0.2936,-2.9081,0.0036
Воронежская область,const,-0.5059,0.2832,-1.7865,0.074
Воронежская область,L1.Белгородская область,-0.8086,0.6143,-1.3163,0.1881
Воронежская область,L1.Курская область,0.5903,0.5322,1.1091,0.2674
Воронежская область,L1.Воронежская область,-0.0421,0.4915,-0.0856,0.9318
Воронежская область,L2.Белгородская область,0.5228,0.3476,1.5039,0.1326
Воронежская область,L2.Курская область,0.0052,0.5126,0.0101,0.9919
Воронежская область,L2.Воронежская область,-0.3812,0.5817,-0.6554,0.5122
Воронежская область,L3.Белгородская область,-0.4107,0.5058,-0.812,0.4168
Воронежская область,L3.Курская область,0.5142,0.3589,1.4327,0.1519
Воронежская область,L3.Воронежская область,-0.6994,0.3922,-1.783,0.0746
