date,cpi_all_items_index_2010_100,net_foreign_assets_bln_rub,m2_bln_rub
2013-01-01,118.4,1546.894,26348.7
2013-02-01,119.07,1716.309,26768.4
2013-03-01,119.48,1777.34,27198.6
2013-04-01,120.09,1871.582,27377.1
2013-05-01,120.89,2320.501,27593.4
2013-06-01,121.39,2062.333,28212.3
2013-07-01,122.39,2057.608,28443.9
2013-08-01,122.57,1947.753,28499.9
2013-09-01,122.82,1748.925,28352.6
2013-10-01,123.53,1746.729,28276.4
2013-11-01,124.22,1808.471,28873.3
2013-12-01,124.85,1769.184,31155.6
2014-01-01,125.59,5164.019,29861.2
2014-02-01,126.47,4814.308,30169.0
2014-03-01,127.75,4756.085,29519.3
2014-04-01,128.9,2994.195,29879.2
2014-05-01,130.06,3184.33,29890.8
2014-06-01,130.87,2983.823,30071.8
2014-07-01,131.51,3008.16,30178.3
2014-08-01,131.82,2579.54,30338.7
2014-09-01,132.68,2425.269,30297.6
2014-10-01,133.77,2990.438,29831.2
2014-11-01,135.48,3262.225,30141.9
2014-12-01,139.02,3904.542,31615.7
2015-01-01,144.37,3904.542,31033.8
2015-02-01,147.58,3904.542,31225.0
2015-03-01,149.37,3904.542,31028.9
2015-04-01,150.04,3904.542,31718.6
2015-05-01,150.58,3904.542,31842.2
2015-06-01,150.86,3904.542,31958.0
