date,m2_bln_rub,cpi_all_items_index_2010_100,usd_rub_avg,key_rate_pct
2002-01-01,,,30.4306,
2002-02-01,,,30.7987,
2002-03-01,,,31.0553,
2002-04-01,,,31.173,
2002-05-01,,,31.2417,
2002-06-01,,,31.4014,
2002-07-01,,,31.5161,
2002-08-01,,,31.5579,
2002-09-01,,,31.6241,
2002-10-01,,,31.6921,
2002-11-01,,,31.8057,
2002-12-01,,,31.8381,
2003-01-01,,,31.8116,
2003-02-01,,,31.698,
2003-03-01,,,31.4574,
2003-04-01,,,31.2123,
2003-05-01,,,30.9446,
2003-06-01,,,30.4837,
2003-07-01,,,30.3591,
2003-08-01,,,30.3519,
2003-09-01,,,30.5959,
2003-10-01,,,30.1641,
2003-11-01,,,29.8151,
2003-12-01,,,29.4326,
2004-01-01,,,28.9234,
2004-02-01,,,28.5154,
2004-03-01,,,28.5334,
2004-04-01,,,28.6759,
2004-05-01,,,28.9867,
2004-06-01,,,29.0315,
2004-07-01,,,29.0817,
2004-08-01,,,29.213,
2004-09-01,,,29.2218,
2004-10-01,,,29.0776,
2004-11-01,,,28.5844,
2004-12-01,,,27.9201,
2005-01-01,,,27.935,
2005-02-01,,,27.9736,
2005-03-01,,,27.616,
2005-04-01,,,27.8205,
2005-05-01,,,27.9203,
2005-06-01,,,28.5042,
2005-07-01,,,28.6888,
2005-08-01,,,28.4756,
2005-09-01,,,28.3645,
2005-10-01,,,28.5472,
2005-11-01,,,28.7565,
2005-12-01,,,28.8111,
2006-01-01,,,28.4122,
2006-02-01,,,28.1968,
2006-03-01,,,27.8777,
2006-04-01,,,27.5724,
2006-05-01,,,27.0578,
2006-06-01,,,26.9839,
2006-07-01,,,26.915,
2006-08-01,,,26.7653,
2006-09-01,,,26.7442,
2006-10-01,,,26.8558,
2006-11-01,,,26.6239,
2006-12-01,,,26.2865,
2007-01-01,,,26.4749,
2007-02-01,,,26.3351,
2007-03-01,,,26.1108,
2007-04-01,,,25.842,
2007-05-01,,,25.8183,
2007-06-01,,,25.9256,
2007-07-01,,,25.5564,
2007-08-01,,,25.6305,
2007-09-01,,,25.343,
2007-10-01,,,24.8939,
2007-11-01,,,24.4737,
2007-12-01,,,24.5659,
2008-01-01,,,24.5011,
2008-02-01,,,24.5347,
2008-03-01,,,23.7607,
2008-04-01,,,23.5127,
2008-05-01,,,23.7294,
2008-06-01,,,23.6376,
2008-07-01,,,23.3505,
2008-08-01,,,24.1314,
2008-09-01,,,25.2837,
2008-10-01,,,26.3512,
2008-11-01,,,27.3101,
2008-12-01,,,28.1314,
2009-01-01,,,31.4715,
2009-02-01,,,35.7597,
2009-03-01,,,34.6665,
2009-04-01,,,33.5554,
