date,region,marriages
2006-01-01,Архангельская область,492
2006-02-01,Архангельская область,567
2006-03-01,Архангельская область,737
2006-04-01,Архангельская область,756
2006-05-01,Архангельская область,280
2006-06-01,Архангельская область,982
2006-07-01,Архангельская область,1162
2006-08-01,Архангельская область,1286
2006-09-01,Архангельская область,1167
2006-10-01,Архангельская область,755
2006-11-01,Архангельская область,777
2006-12-01,Архангельская область,843
2007-01-01,Архангельская область,507
2007-02-01,Архангельская область,615
2007-03-01,Архангельская область,783
2007-04-01,Архангельская область,833
2007-05-01,Архангельская область,297
2007-06-01,Архангельская область,1110
2007-07-01,Архангельская область,1306
2007-08-01,Архангельская область,1371
2007-09-01,Архангельская область,1190
2007-10-01,Архангельская область,791
2007-11-01,Архангельская область,989
2007-12-01,Архангельская область,1502
2008-01-01,Архангельская область,476
2008-02-01,Архангельская область,563
2008-03-01,Архангельская область,814
2008-04-01,Архангельская область,674
2008-05-01,Архангельская область,411
2008-06-01,Архангельская область,979
2008-07-01,Архангельская область,1047
2008-08-01,Архангельская область,1620
2008-09-01,Архангельская область,1080
2008-10-01,Архангельская область,721
2008-11-01,Архангельская область,855
2008-12-01,Архангельская область,794
2009-01-01,Архангельская область,569
2009-02-01,Архангельская область,789
2009-03-01,Архангельская область,740
2009-04-01,Архангельская область,879
2009-05-01,Архангельская область,351
2009-06-01,Архангельская область,1036
2009-07-01,Архангельская область,1210
2009-08-01,Архангельская область,1393
2009-09-01,Архангельская область,1083
2009-10-01,Архангельская область,959
2009-11-01,Архангельская область,761
2009-12-01,Архангельская область,819
2010-01-01,Архангельская область,590
2010-02-01,Архангельская область,701
2010-03-01,Архангельская область,746
2010-04-01,Архангельская область,973
2010-05-01,Архангельская область,345
2010-06-01,Архангельская область,1092
2010-07-01,Архангельская область,1474
2010-08-01,Архангельская область,1362
2010-09-01,Архангельская область,1118
2010-10-01,Архангельская область,944
2010-11-01,Архангельская область,742
2010-12-01,Архангельская область,841
2011-01-01,Архангельская область,478
2011-02-01,Архангельская область,694
2011-03-01,Архангельская область,779
2011-04-01,Архангельская область,818
2011-05-01,Архангельская область,317
2011-06-01,Архангельская область,1181
2011-07-01,Архангельская область,1535
2011-08-01,Архангельская область,1521
2011-09-01,Архангельская область,1247
2011-10-01,Архангельская область,914
2011-11-01,Архангельская область,1064
2011-12-01,Архангельская область,1329
2012-01-01,Архангельская область,449
2012-02-01,Архангельская область,562
2012-03-01,Архангельская область,665
2012-04-01,Архангельская область,695
2012-05-01,Архангельская область,314
2012-06-01,Архангельская область,1133
2012-07-01,Архангельская область,1240
2012-08-01,Архангельская область,1340
2012-09-01,Архангельская область,1060
2012-10-01,Архангельская область,783
2012-11-01,Архангельская область,673
2012-12-01,Архангельская область,847
2013-01-01,Архангельская область,480
2013-02-01,Архангельская область,617
2013-03-01,Архангельская область,863
2013-04-01,Архангельская область,637
2013-05-01,Архангельская область,328
2013-06-01,Архангельская область,1121
2013-07-01,Архангельская область,1313
2013-08-01,Архангельская область,1413
2013-09-01,Архангельская область,1019
2013-10-01,Архангельская область,751
2013-11-01,Архангельская область,762
2013-12-01,Архангельская область,768
2014-01-01,Архангельская область,488
2014-02-01,Архангельская область,738
2014-03-01,Архангельская область,724
2014-04-01,Архангельская область,737
2014-05-01,Архангельская область,378
2014-06-01,Архангельская область,1093
2014-07-01,Архангельская область,1261
2014-08-01,Архангельская область,1346
2014-09-01,Архангельская область,961
2014-10-01,Архангельская область,741
2014-11-01,Архангельская область,636
2014-12-01,Архангельская область,759
2015-01-01,Архангельская область,453
2015-02-01,Архангельская область,573
2015-03-01,Архангельская область,498
2015-04-01,Архангельская область,634
2015-05-01,Архангельская область,306
2015-06-01,Архангельская область,875
2015-07-01,Архангельская область,1183
2015-08-01,Архангельская область,1246
2015-09-01,Архангельская область,865
2015-10-01,Архангельская область,744
2015-11-01,Архангельская область,663
2015-12-01,Архангельская область,973
2016-01-01,Архангельская область,380
2016-02-01,Архангельская область,467
2016-03-01,Архангельская область,513
2016-04-01,Архангельская область,497
2016-05-01,Архангельская область,322
2016-06-01,Архангельская область,864
2016-07-01,Архангельская область,1059
2016-08-01,Архангельская область,952
2016-09-01,Архангельская область,734
2016-10-01,Архангельская область,515
2016-11-01,Архангельская область,480
2016-12-01,Архангельская область,524
2017-01-01,Архангельская область,415
2006-01-01,Москва,3906
2006-02-01,Москва,4247
2006-03-01,Москва,4500
2006-04-01,Москва,6072
2006-05-01,Москва,3100
2006-06-01,Москва,8748
2006-07-01,Москва,9321
2006-08-01,Москва,9872
2006-09-01,Москва,10395
2006-10-01,Москва,6825
2006-11-01,Москва,5734
2006-12-01,Москва,6041
2007-01-01,Москва,4084
2007-02-01,Москва,4678
2007-03-01,Москва,4651
2007-04-01,Москва,7714
