отклик,горизонт,Белгородская область,Курская область,Воронежская область
Белгородская область,1,1.0,0.0,0.0
Белгородская область,2,0.8827,0.001,0.1163
Белгородская область,3,0.9009,0.0042,0.0949
Белгородская область,4,0.8726,0.0042,0.1231
Белгородская область,5,0.8674,0.007,0.1255
Курская область,1,0.6678,0.3322,0.0
Курская область,2,0.5665,0.3214,0.1121
Курская область,3,0.5775,0.1911,0.2314
Курская область,4,0.4129,0.1368,0.4503
Курская область,5,0.4095,0.143,0.4475
Воронежская область,1,0.5654,0.0531,0.3815
Воронежская область,2,0.5549,0.1016,0.3435
Воронежская область,3,0.5189,0.0949,0.3861
Воронежская область,4,0.4661,0.0713,0.4626
Воронежская область,5,0.4623,0.0729,0.4648
